date,open,high,low,close,volume,adj_close
2009-06-04,1320,1320,1320,1320,237,1320
2009-06-05,1320,1500,1500,1500,8000,1500
2009-06-08,1500,1600,1600,1600,8100,1600
2009-06-09,1600,1650,1610,1648,1785,1648
2009-06-12,1648,1700,1700,1700,600,1700
2009-06-16,1700,1700,1700,1700,2475,1700
2009-06-17,1700,1699,1699,1699,3150,1699
2009-06-19,1699,1650,1650,1650,1000,1650
2009-06-30,1650,1650,1650,1650,4398,1650
2009-07-08,1650,1599.9,1590,1590,2100,1590
2009-07-09,1590,1590,1590,1590,200,1590
2009-07-31,1590,1584,1584,1584,1623,1584
2009-08-03,1584,1584,1584,1584,1560,1584
2009-08-04,1584,1584,1584,1584,1245,1584
2009-08-05,1584,1584,1584,1584,316,1584
2009-08-07,1584,1584,1584,1584,1000,1584
2009-08-14,1584,1550,1550,1550,3200,1550
2009-08-19,1550,1550,1550,1550,668,1550
2009-09-02,1550,1480,1480,1480,1503,1480
2009-09-07,1480,1400,1400,1400,4496,1400
2009-09-08,1400,1400,1400,1400,210,1400
2009-09-09,1400,1450,1425,1450,1160,1450
2009-09-23,1450,1450,1450,1450,421,1450
2009-09-24,1450,1500,1500,1500,5869,1500
2009-09-25,1500,1500,1500,1500,196,1500
2009-10-06,1500,1520,1520,1520,2200,1520
2009-10-08,1520,1520,1520,1520,1244,1520
2009-10-09,1520,1560,1560,1560,756,1560
2009-10-16,1560,1530,1530,1530,8000,1530
2009-10-19,1530,1540,1540,1540,17300,1540
2009-10-22,1540,1560,1560,1560,3198,1560
2009-10-30,1560,1500,1500,1500,1245,1500
2009-11-06,1500,1560,1550,1560,4660,1560
2009-11-12,1560,1560.1,1560,1560,17646,1560
2009-11-16,1560,1560,1560,1560,520,1560
2009-11-20,1560,1560,1560,1560,3700,1560
2009-11-25,1560,1560,1560,1560,1500,1560
2009-11-26,1560,1560,1560,1560,82,1560
2009-12-02,1560,1600,1600,1600,634,1600
2009-12-22,1600,1600,1600,1600,254,1600
2009-12-23,1600,1545,1544,1544,6254,1544
2009-12-28,1544,1510,1510,1510,5892,1510
2009-12-29,1510,1550,1515,1515,11000,1515
2010-01-06,1515,1550,1550,1550,4193,1550
2010-01-11,1550,1540,1540,1540,2807,1540
2010-01-12,1540,1541,1541,1541,485,1541
2010-01-13,1541,1550,1550,1550,3820,1550
2010-01-14,1550,1550,1550,1550,3585,1550
2010-01-18,1550,1550,1550,1550,2320,1550
