date,open,high,low,close,volume,adj_close
2017-08-11,798,825.1,760,819.62,147270100,819.62
2017-08-14,819.62,880,820,854.33,6946180,854.33
2017-08-16,860,880,860,876.68,6864749,876.68
2017-08-17,890,890,850,862.38,3254806,862.38
2017-08-18,862.38,864,849,850.04,811641,850.04
2017-08-21,854,860,843,844.51,1032143,844.51
2017-08-22,844.51,845,832,838.86,530240,838.86
2017-08-23,838.86,844,830,842.35,1661290,842.35
2017-08-24,842.35,845,836.99,842.14,697304,842.14
2017-08-25,842.14,850,838.5,842.14,263092,842.14
2017-08-28,842.14,850,840,840,234293,840
2017-08-29,840,842,836,840,244783,840
2017-08-30,840,842,839,840.01,956433,840.01
2017-08-31,839,840.7,837,837.5,2564361,837.5
2017-09-01,837.5,840,835,838.21,577285,838.21
2017-09-04,838.21,840,827.82,839.99,1210959,839.99
2017-09-05,839.99,854,839,845.96,3272623,845.96
2017-09-06,845.96,856,841.1,844.96,1426768,844.96
2017-09-07,844.96,840.01,835,840,1352652,840
2017-09-08,840,850,837,846.67,1294790,846.67
2017-09-11,846.67,849,839.99,849,797796,849
2017-09-12,849,840,820,826,2476787,826
2017-09-13,826,830,815,828.8,1266621,828.8
2017-09-14,828.8,830,816.9,819,500364,819
2017-09-15,819,824,818,818,749007,818
2017-09-20,820,823,819,820,382532,820
2017-09-21,820,819,805,812.99,3128163,812.99
2017-09-22,812.99,820,810,820,292703,820
2017-09-25,820,820,811,816.2,219769,816.2
2017-09-26,816.2,820,814,815,2321497,815
2017-09-27,815,815,810,810,2333067,810
2017-09-28,810,815,809,810,1228999,810
2017-09-29,810,820,810,811,555341,811
2017-10-02,811,820,812,819.51,534354,819.51
2017-10-03,819.51,826,815,820.41,1107379,820.41
2017-10-04,820.41,837,815,834.48,2739918,834.48
2017-10-05,834.48,849.9,825.1,847.56,423404,847.56
2017-10-06,847.56,865,850,865,1781052,865
2017-10-10,865,866,859.99,864,454540,864
2017-10-11,864,860,835,846.54,1832731,846.54
2017-10-12,830.78,857,830.78,835.2,1822475,835.2
2017-10-13,835.2,844,832,840,1433674,840
2017-10-16,840,850,835,840.13,312607,840.13
2017-10-17,840.13,850,830.01,839.99,443447,839.99
2017-10-18,839.99,850,840,840,543619,840
2017-10-19,840,850,845,850,88006,850
2017-10-20,850,850,845,846,230956,846
2017-10-23,846,858.85,846,854,875984,854
2017-10-24,850,858.84,848,858.84,327429,858.84
2017-10-25,858.84,858,846,846,381596,846
2017-10-26,846,845.99,839.99,839.99,520634,839.99
2017-10-30,839.99,845,830,842.45,384396,842.45
2017-10-31,842.45,850,837,850,483734,850
2017-11-02,850,849,845,845.69,650716,845.69
2017-11-03,845.69,854,845,847.44,1052024,847.44
2017-11-06,847.44,852.25,845,851.81,151551,851.81
2017-11-07,851.81,849,840.1,840.5,130706,840.5
2017-11-08,840.5,835,833.7,833.7,27307,833.7
2017-11-09,833.7,825,815,816.45,794706,816.45
2017-11-10,816.45,816.01,812,812,278873,812
2017-11-13,812,816,812,812,225320,812
2017-11-14,812,820,800,802.77,527690,802.77
2017-11-15,802.77,803,795,795,534775,795
2017-11-16,795,830,795,823.11,411882,823.11
2017-11-17,823.11,822,806.13,816.75,150375,816.75
2017-11-20,816.75,804.91,730,730.09,1607312,730.09
2017-11-21,730.09,770,740.37,744.92,1502293,744.92
2017-11-22,744.92,750,728,741.96,727052,741.96
2017-11-23,741.96,750.42,705,714.9,120749,714.9
2017-11-24,714.9,715,701,711.67,2826135,711.67
2017-11-27,711.67,715,700,708.45,302961,708.45
