date,open,high,low,close,volume,adj_close
2014-04-07,85.1,85.1,85.1,85.1,60,85.1
2014-05-27,85.1,93.42,93.42,93.42,53,93.42
2014-06-13,93.42,94.99,94.99,94.99,53,94.99
2014-07-15,94.99,95.71,95.71,95.71,51,95.71
2014-12-12,95.71,103.75,103.75,103.75,51,103.75
2015-02-12,103.75,108.02,107.6,107.6,206,107.6
2015-02-13,107.6,108.13,108.13,108.13,19,108.13
2015-04-06,108.13,108.36,108.36,108.36,23,108.36
2015-06-24,108.36,99.19,99.19,99.19,48,99.19
2015-07-15,99.19,102.54,102.54,102.54,17,102.54
2015-08-19,102.54,106.88,106.88,106.88,140,106.88
2015-08-28,106.88,100.44,100.44,100.44,28,100.44
2015-09-01,100.44,97.83,97.83,97.83,17,97.83
2015-09-15,97.83,100.25,100.25,100.25,19,100.25
2015-10-22,100.25,112.2,112.2,112.2,38,112.2
2015-11-10,112.2,112.5,112.5,112.5,23,112.5
2015-11-23,112.5,115.98,115.98,115.98,48,115.98
2019-03-14,115.98,132.81,132.81,132.81,2,132.81
2019-08-07,132.81,144.47,144.47,144.47,2,144.47
2020-03-26,144.47,92.8,92.8,144.47,32,144.47
2020-04-09,144.47,110.88,110.88,144.47,32,144.47
2020-05-07,144.47,97.2,97.2,144.47,1,144.47
2020-09-15,144.47,113.66,113.66,113.66,60,113.66
2021-06-18,144.47,145.72,145.72,145.72,82,145.72
