date,open,high,low,close,volume,adj_close
2009-09-15,116.01,150,150,150,5000,150
2009-09-23,150,150,150,150,5000,150
2010-07-20,150,150,150,150,24902,150
2010-08-18,150,150,150,150,1000,150
2010-08-19,150,150,150,150,347,150
2010-10-27,150,150,150,150,1200,150
2010-10-28,150,150,150,150,12000,150
2010-11-16,150,150,150,150,3653,150
2010-11-18,150,150,150,150,450,150
2010-11-25,150,150,150,150,21468,150
2011-04-29,150,200,200,200,5000,200
2011-05-03,200,200,200,200,25573,200
2011-05-06,200,205,205,205,9000,205
2011-05-09,205,201,201,201,8695,201
2011-06-09,201,201,201,201,1004,201
2011-07-25,201,205,205,205,15000,205
2011-07-26,205,205,205,205,494,205
2011-08-01,205,205,205,205,5501,205
2011-09-20,205,225,225,225,4850,225
2012-02-07,225,240,240,240,10000,240
2012-03-08,240,235,235,235,5501,235
2012-06-01,235,250,250,250,13700,250
2012-06-12,250,250,250,250,400,250
2012-10-11,250,250,250,250,334,250
2012-10-19,250,250,250,250,530,250
2012-10-24,250,250,250,250,500,250
2012-10-25,250,250,250,250,600,250
2012-10-29,250,250,250,250,66,250
2012-11-07,250,250,250,250,2200,250
2012-11-08,250,300,300,300,5871,300
2012-11-26,300,300,300,300,23478,300
2012-12-03,300,301,301,301,23478,301
2013-02-18,301,301,301,301,913,301
2013-03-26,301,301,301,301,6781,301
2013-07-08,301,301,301,301,5,301
2013-07-19,301,325,325,325,5275,325
2013-07-22,325,340,330,340,9000,340
2013-08-05,340,340,340,340,232,340
2013-08-28,340,325,325,325,1533,325
2013-10-14,325,325,325,325,2000,325
2013-10-15,325,325,325,325,2000,325
2013-10-18,325,335,330,335,4000,335
2013-10-30,335,335,335,335,2000,335
2013-11-08,335,335,335,335,2000,335
2013-11-11,335,335,335,335,2000,335
2013-11-12,335,335,335,335,5000,335
2013-11-14,335,335,335,335,2000,335
2013-11-15,335,335,335,335,3925,335
2013-11-18,335,335,335,335,2000,335
2013-11-19,335,335,335,335,2310,335
2013-12-27,335,335,335,335,290,335
2014-01-07,335,335,335,335,295,335
2014-01-27,335,335,335,335,335,335
2014-01-28,335,330,330,330,6635,330
2014-01-30,330,330,330,330,333,330
2014-02-04,330,330,330,330,348,330
2014-02-14,330,330,330,330,320,330
2014-02-20,330,330,330,330,319,330
2014-02-25,330,330,330,330,330,330
2014-03-18,330,330,330,330,360,330
2014-09-22,330,330,330,330,919,330
2014-09-30,330,330,330,330,919,330
2015-02-25,330,369,369,369,3671,369
2015-04-20,369,369,369,369,591,369
2015-08-20,369,370,370,370,2267,370
2015-09-16,370,370,370,370,1095,370
2015-12-21,370,372,372,372,25000,372
2016-02-04,372,372,372,372,919,372
2016-07-05,372,372,372,372,171687,372
2016-08-18,372,372,372,372,427,372
2016-09-23,372,372,372,372,5376,372
2016-10-17,372,372,372,372,125,372
2016-12-05,372,372,372,372,9550,372
2017-01-24,372,372,372,372,9000,372
2017-01-27,372,372,372,372,45957,372
2017-03-03,372,372,372,372,5047,372
2017-03-29,372,372,372,372,890,372
2017-06-09,372,372,372,372,18138,372
2017-06-21,372,372,372,372,4486,372
2017-07-03,372,372,372,372,1278,372
2017-08-04,372,372,372,372,20016,372
2017-08-07,372,372,372,372,10635,372
2017-08-08,372,372,372,372,10635,372
2017-08-17,372,372,372,372,7500,372
2017-10-04,372,372,372,372,7500,372
2017-11-15,372,372,372,372,4486,372
2017-11-23,372,372,372,372,4486,372
2018-01-02,372,372,372,372,3713,372
2018-02-15,372,372.25,372.25,372.25,6635,372.25
2018-02-28,372.25,372,372,372,9344,372
2018-07-12,372,372,372,372,2801,372
2018-08-27,372,373,372,373,12519,373
2018-08-30,373,373,373,373,12519,373
2018-11-06,373,373,373,373,920,373
2018-11-07,373,373,373,373,920,373
2018-11-30,373,373,373,373,8522,373
2019-04-08,373,380,380,380,5552,380
2019-04-09,380,380,380,380,5552,380
2019-08-21,380,380,380,380,1000,380
2019-08-27,380,386,386,386,2709,386
2019-10-15,386,386,386,386,150,386
2019-10-16,386,386,386,386,1350,386
2019-10-22,386,386,386,386,0,386
2019-11-05,386,389,389,386,2710,386
2019-11-12,386,389.2,389.2,386,7919,386
2019-11-19,386,386,386,386,0,386
2019-11-20,386,386,386,386,0,386
2019-11-21,386,386,386,386,0,386
2019-11-23,386,386,386,386,0,386
2020-02-24,386,390,390,386,5087,386
