date,open,high,low,close,volume,adj_close
2013-05-14,62.03,62.03,62.03,62.03,344,62.03
2013-07-18,62.03,69.89,69.89,69.89,344,69.89
2014-09-02,69.89,86.3,86.3,86.3,115,86.3
2014-10-21,86.3,89.88,89.88,89.88,115,89.88
2014-11-12,89.88,94.93,94.93,94.93,73,94.93
2014-11-19,94.93,97.24,97.24,97.24,73,97.24
2015-01-23,97.24,112.77,112.77,112.77,310,112.77
2015-01-26,112.77,110.97,110.97,110.97,120,110.97
2015-01-27,110.97,110.64,110.61,110.63,177,110.63
2015-02-09,110.63,106.97,106.97,106.97,38,106.97
2015-02-12,106.97,110.03,109.9,110.03,118,110.03
2015-02-13,110.03,109.16,109.16,109.16,107,109.16
2015-02-23,109.16,115.5,115.34,115.5,190,115.5
2015-03-03,115.5,113,113,113,186,113
2015-03-16,113,117.15,117.15,117.15,64,117.15
2015-03-18,117.15,118,118,118,186,118
2015-03-20,118,120.32,120.32,120.32,42,120.32
2015-04-06,120.32,117.85,117.85,117.85,63,117.85
2015-04-07,117.85,117.7,117.7,117.7,178,117.7
2015-04-09,117.7,117.96,117.96,117.96,64,117.96
2015-04-22,117.96,118.5,118.5,118.5,34,118.5
2015-04-23,118.5,118.37,118.37,118.37,80,118.37
2015-04-29,118.37,113.84,113.7,113.7,199,113.7
2015-05-06,113.7,112.98,112.98,112.98,44,112.98
2015-05-14,112.98,118,118,118,44,118
2015-05-26,118,117.77,117.77,117.77,40,117.77
2015-05-28,117.77,118.79,118.79,118.79,127,118.79
2015-05-29,118.79,117.94,117.94,117.94,128,117.94
2015-06-01,117.94,120.32,120.32,120.32,42,120.32
2015-06-23,120.32,122.42,122.42,122.42,255,122.42
2015-06-24,122.42,121.42,119.72,119.72,144,119.72
2015-06-26,119.72,123.74,123.5,123.74,212,123.74
2015-06-30,123.74,121.8,121.8,121.8,76,121.8
2015-07-02,121.8,123,123,123,134,123
2015-07-07,123,121,121,121,180,121
2015-07-09,121,120.03,120,120,130,120
2015-07-10,120,121.61,121.61,121.61,41,121.61
2015-07-14,121.61,123.72,123.72,123.72,63,123.72
2015-07-15,123.72,125.59,125.59,125.59,41,125.59
2015-07-22,125.59,120.83,120.83,120.83,50,120.83
2015-07-23,120.83,120.08,120.08,120.08,64,120.08
2015-07-27,120.08,117.52,117.52,117.52,25,117.52
2015-08-18,117.52,125.95,125.95,125.95,180,125.95
2015-08-19,125.95,123.71,123.71,123.71,310,123.71
2015-08-20,123.71,121.2,121.2,121.2,130,121.2
2015-09-03,121.2,115.19,115.19,115.19,63,115.19
2015-09-04,115.19,115,115,115,40,115
2015-09-22,115,122.89,122.89,122.89,21,122.89
2015-10-22,122.89,112.35,112.35,112.35,65,112.35
2015-10-23,112.35,115.87,115.87,115.87,35,115.87
2015-11-04,115.87,115.3,115.3,115.3,300,115.3
2015-11-05,115.3,114.5,114.5,114.5,15,114.5
2015-11-06,114.5,114.5,114.5,114.5,300,114.5
