date,open,high,low,close,volume,adj_close
2009-08-06,2750000,1900000,1900000,1900000,1,1900000
2009-08-12,1900000,1800000,1800000,1800000,1,1800000
2009-08-19,1800000,1800000,1800000,1800000,1,1800000
2010-01-29,1800000,1200000,1200000,1200000,2,1200000
2010-05-10,1200000,1200000,1200000,1200000,1,1200000
2010-05-12,1200000,1350000,1200000,1350000,3,1350000
2010-08-17,1350000,1350000,1350000,1350000,1,1350000
2010-08-19,1350000,1450000,1400000,1450000,5,1450000
2010-09-02,1450000,1300000,1300000,1300000,2,1300000
2010-10-20,1300000,1300000,1300000,1300000,1,1300000
2010-10-21,1300000,1300000,1300000,1300000,1,1300000
2010-11-02,1300000,1200000,1200000,1200000,1,1200000
2010-11-18,1200000,1200000,1200000,1200000,1,1200000
2010-11-24,1200000,1350000,1350000,1350000,2,1350000
2010-12-09,1350000,1200000,1200000,1200000,4,1200000
2011-01-11,1200000,1210000,1200000,1200000,4,1200000
2011-01-13,1200000,1200000,1200000,1200000,2,1200000
2011-02-16,1200000,1300000,1300000,1300000,6,1300000
2011-03-21,1300000,1200000,1200000,1200000,2,1200000
2011-03-24,1200000,1200000,1200000,1200000,1,1200000
2011-05-03,1200000,1150000,1150000,1150000,1,1150000
2011-06-07,1150000,1300000,1300000,1300000,2,1300000
2011-07-27,1300000,1150000,1150000,1150000,4,1150000
2011-08-08,1150000,1300000,1300000,1300000,1,1300000
2011-08-25,1300000,1300000,1300000,1300000,1,1300000
2011-09-30,1300000,1300000,1300000,1300000,2,1300000
2011-10-19,1300000,1350000,1350000,1350000,1,1350000
2011-11-16,1350000,1500000,1500000,1500000,2,1500000
2011-12-14,1500000,1352000,1352000,1352000,1,1352000
2011-12-21,1352000,1351000,1351000,1351000,2,1351000
2011-12-22,1351000,1350000,1350000,1350000,2,1350000
2011-12-29,1350000,1350000,1350000,1350000,1,1350000
2012-02-24,1350000,1350000,1350000,1350000,1,1350000
2012-03-08,1350000,1300000,1300000,1300000,2,1300000
2012-04-11,1300000,1350000,1350000,1350000,2,1350000
2012-04-25,1350000,1350000,1350000,1350000,1,1350000
2012-05-11,1350000,1450000,1450000,1450000,4,1450000
2012-06-11,1450000,1450000,1450000,1450000,2,1450000
2012-06-15,1450000,1350000,1350000,1350000,1,1350000
2012-06-19,1350000,1450000,1450000,1450000,1,1450000
2012-06-21,1450000,1400000,1400000,1400000,2,1400000
2012-07-31,1400000,1400000,1400000,1400000,2,1400000
2012-11-13,1400000,1450000,1450000,1450000,1,1450000
2013-03-12,1450000,1500000,1500000,1500000,1,1500000
2013-07-30,1500000,1605000,1605000,1605000,2,1605000
2013-08-21,1605000,2000000,1850000,2000000,8,2000000
2013-08-27,2000000,2200000,2200000,2200000,2,2200000
2013-11-05,2200000,2200000,2200000,2200000,3,2200000
2013-11-19,2200000,2190000,2190000,2190000,1,2190000
2014-01-08,2190000,2190000,2190000,2190000,2,2190000
2014-03-25,2190000,2189000,2189000,2189000,1,2189000
2014-04-23,2189000,2190000,2190000,2190000,1,2190000
2014-06-05,2190000,2000000,2000000,2000000,2,2000000
2014-06-24,2000000,2185000,2185000,2185000,2,2185000
2014-07-04,2185000,2185000,2185000,2185000,1,2185000
2014-07-22,2185000,2185000,2185000,2185000,1,2185000
2014-08-04,2185000,2185000,2185000,2185000,1,2185000
2014-08-12,2185000,2200000,2200000,2200000,1,2200000
2014-09-08,2200000,2240000,2240000,2240000,2,2240000
2014-11-10,2240000,2240000,2240000,2240000,1,2240000
2014-11-11,2240000,2500000,2500000,2500000,1,2500000
2014-12-26,2500000,1690000,1690000,1690000,2,1690000
2015-01-13,1690000,1890000,1890000,1890000,2,1890000
2015-02-10,1890000,1890000,1890000,1890000,1,1890000
2015-03-10,1890000,1990000,1990000,1990000,2,1990000
2015-03-26,1990000,2000000,2000000,2000000,1,2000000
2015-04-06,2000000,2100000,2100000,2100000,2,2100000
2015-05-13,2100000,2100000,2100000,2100000,2,2100000
2015-06-05,2100000,2100000,2099000,2100000,4,2100000
2015-08-31,2100000,2000000,2000000,2000000,2,2000000
2015-09-29,2000000,1999000,1999000,1999000,2,1999000
2015-10-05,1999000,2000000,2000000,2000000,2,2000000
2015-10-07,2000000,2300000,2300000,2300000,3,2300000
2015-10-13,2300000,2300000,2300000,2300000,1,2300000
2015-11-05,2300000,2100000,1900000,1900000,4,1900000
2016-03-14,1600000,1600000,1500000,1500000,2,1500000
2016-03-23,1350000,1350000,1350000,1350000,1,1350000
2016-04-01,1350000,1500000,1500000,1500000,2,1500000
2016-04-08,1500000,1500000,1500000,1500000,2,1500000
2016-04-15,1500000,1600000,1600000,1600000,2,1600000
2016-04-26,1600000,1599000,1599000,1599000,1,1599000
2016-04-27,1599000,1450000,1450000,1450000,3,1450000
2016-05-11,1450000,1450000,1450000,1450000,1,1450000
2016-05-31,1450000,1475000,1475000,1475000,2,1475000
2016-06-17,1475000,1600000,1500000,1600000,2,1600000
2016-06-28,1600000,1600000,1600000,1600000,1,1600000
2016-07-05,1600000,1600000,1600000,1600000,1,1600000
2016-07-13,1600000,1600000,1600000,1600000,1,1600000
2016-07-19,1600000,1600000,1600000,1600000,1,1600000
2016-08-08,1600000,1550000,1550000,1550000,1,1550000
2016-08-17,1550000,1500000,1500000,1500000,2,1500000
2016-08-22,1500000,1500000,1500000,1500000,1,1500000
2016-08-24,1500000,1550000,1550000,1550000,2,1550000
2016-08-25,1550000,1500000,1500000,1500000,1,1500000
2016-09-02,1500000,1500000,1500000,1500000,2,1500000
2016-09-09,1500000,1550000,1550000,1550000,1,1550000
2016-09-12,1550000,1550000,1550000,1550000,1,1550000
2016-09-13,1550000,1550000,1550000,1550000,1,1550000
2016-10-20,1550000,1500000,1500000,1500000,2,1500000
2016-10-21,1500000,1550000,1540000,1550000,2,1550000
2016-12-02,1550000,1650000,1650000,1650000,2,1650000
2016-12-15,1650000,1600000,1600000,1600000,2,1600000
2016-12-28,1600000,1600000,1600000,1600000,2,1600000
2017-03-08,1600000,1600000,1600000,1600000,1,1600000
2017-03-22,1600000,1600000,1600000,1600000,2,1600000
2017-04-24,1600000,1615000,1615000,1615000,2,1615000
2017-06-02,1615000,1630000,1630000,1630000,4,1630000
2017-06-15,1630000,1652000,1650000,1650000,3,1650000
2017-06-16,1650000,1680000,1680000,1680000,1,1680000
2017-07-24,1680000,1702100,1702000,1702000,2,1702000
2017-08-29,1702000,2100000,2100000,2100000,2,2100000
2017-09-25,2100000,2100000,2100000,2100000,1,2100000
2017-10-19,2100000,2100000,2100000,2100000,3,2100000
2017-12-06,2100000,1900000,1900000,1900000,1,1900000
2017-12-14,1900000,1800000,1800000,1800000,2,1800000
2018-01-18,1800000,1760000,1760000,1760000,1,1760000
2018-03-13,1760000,1761000,1761000,1761000,2,1761000
2018-05-18,1761000,1980000,1850000,1980000,2,1980000
2018-06-12,1980000,1800000,1800000,1800000,1,1800000
2018-06-15,1800000,1800000,1800000,1800000,2,1800000
2018-06-19,1800000,1800000,1800000,1800000,1,1800000
2018-06-21,1800000,1750000,1750000,1750000,1,1750000
2018-07-04,1750000,1575000,1575000,1575000,2,1575000
2018-07-10,1575000,1603250,1603250,1603250,2,1603250
2018-07-18,1603250,1575000,1575000,1575000,2,1575000
2018-08-01,1575000,1650000,1650000,1650000,1,1650000
2018-08-16,1650000,1650000,1650000,1650000,1,1650000
2018-08-30,1650000,1650000,1650000,1650000,2,1650000
2018-10-16,1650000,1749000,1749000,1749000,1,1749000
2018-10-19,1749000,1601000,1601000,1601000,2,1601000
2018-10-22,1601000,1601000,1601000,1601000,2,1601000
2018-10-30,1601000,1601000,1601000,1601000,1,1601000
2018-11-08,1601000,1500000,1500000,1500000,1,1500000
2018-11-14,1500000,1489500,1400000,1489500,3,1489500
2018-11-21,1489500,1489500,1489500,1489500,1,1489500
2018-11-23,1489500,1489500,1489500,1489500,1,1489500
2019-01-04,1489500,1500000,1500000,1500000,1,1500000
2019-01-11,1500000,1600000,1600000,1600000,1,1600000
2019-02-20,1600000,1630000,1630000,1630000,2,1630000
2019-02-22,1630000,1630000,1630000,1630000,1,1630000
2019-03-06,1630000,1350000,1350000,1350000,1,1350000
2019-05-06,1350000,1500000,1500000,1500000,1,1500000
