date,open,high,low,close,volume,adj_close
2013-10-29,150.38,150.38,150.38,150.38,40,150.38
2013-11-04,150.38,153.46,153.46,153.46,66,153.46
2013-11-05,153.46,153.3,153.16,153.16,138,153.16
2013-11-20,153.16,158.31,158.31,158.31,47,158.31
2013-12-11,158.31,162.05,162.05,162.05,66,162.05
2013-12-12,162.05,161,161,161,81,161
2014-01-13,161,170.06,170.06,170.06,57,170.06
2014-02-06,170.06,173.66,173.66,173.66,114,173.66
2014-02-11,173.66,177.45,177.45,177.45,114,177.45
2014-02-13,177.45,177.99,177.99,177.99,98,177.99
2014-02-26,177.99,176.85,176.85,176.85,51,176.85
2014-03-13,176.85,185.75,185.75,185.75,149,185.75
2014-03-18,185.75,189.18,189.18,189.18,117,189.18
2014-03-21,189.18,188.69,188.69,188.69,26,188.69
2014-05-16,188.69,193.69,193.69,193.69,40,193.69
2014-06-02,193.69,199.07,199.07,199.07,42,199.07
2014-06-03,199.07,198.13,198.13,198.13,42,198.13
2014-06-11,198.13,101.75,101.75,101.75,60,101.75
2014-06-13,101.75,100.57,100.57,100.57,26,100.57
2014-06-25,100.57,99.9,99.9,99.9,26,99.9
2014-06-26,99.9,99.57,99.57,99.57,820,99.57
2014-07-03,99.57,100.65,100.65,100.65,376,100.65
2014-07-11,100.65,100,100,100,200,100
2014-07-15,100,101.27,101.27,101.27,49,101.27
2014-07-31,101.27,98.38,98.38,98.38,234,98.38
2014-08-11,98.38,99.69,99.69,99.69,298,99.69
2014-08-12,99.69,99.55,99.55,99.55,115,99.55
2014-08-18,99.55,103.78,103.78,103.78,200,103.78
2014-09-16,103.78,107.1,107.1,107.1,49,107.1
2014-09-25,107.1,107.26,107.26,107.26,46,107.26
2014-10-01,107.26,106.87,106.87,106.87,298,106.87
2014-10-06,106.87,109.6,109.6,109.6,51,109.6
2014-10-15,109.6,97.55,97.55,97.55,240,97.55
2014-10-17,97.55,106.55,106.55,106.55,279,106.55
2014-10-24,106.55,113.83,113.83,113.83,279,113.83
2014-10-28,113.83,116.1,116.1,116.1,292,116.1
2014-11-24,116.1,122.72,122.72,122.72,148,122.72
2015-01-07,122.72,112.73,112.59,112.59,482,112.59
2015-01-28,112.59,120.64,120.64,120.64,292,120.64
2015-02-04,120.64,120.73,120.73,120.73,248,120.73
2015-02-24,120.73,122.75,122.75,122.75,355,122.75
2015-03-20,122.75,117.34,117.34,117.34,248,117.34
2015-03-30,117.34,109.48,109.48,109.48,125,109.48
2015-05-19,109.48,104.15,104.15,104.15,40,104.15
2015-07-24,104.15,93.48,93.48,93.48,86,93.48
2015-08-11,93.48,92.94,92.94,92.94,60,92.94
2016-10-12,92.94,96.2,96.2,96.2,178,96.2
2016-11-14,96.2,100.31,100.31,100.31,665,100.31
2017-07-03,100.31,109.98,109.98,109.98,163,109.98
2019-03-18,109.98,167.15,167.15,167.15,180,167.15
2019-06-20,167.15,167.4,167.4,167.4,260,167.4
2019-11-14,167.4,174.61,174.61,167.4,46,167.4
2019-12-23,167.4,179.75,179.75,167.4,35,167.4
2020-02-13,167.4,184.9,184.9,184.9,698,184.9
2020-10-06,184.9,202.39,202.39,202.39,15,202.39
2020-10-29,184.9,177.2,177.2,184.9,15,184.9
2020-12-04,184.9,204.08,204.08,184.9,15,184.9
2021-01-13,184.9,217.1,217.1,217.1,46,217.1
2021-04-13,217.1,220.91,220.91,220.91,46,220.91
2021-04-15,220.91,223.54,223.54,220.91,22,220.91
2021-06-17,220.91,220.25,220.25,220.91,22,220.91
2021-09-14,220.91,206,206,206,50,206
2021-10-21,206,227.8,227.8,227.8,50,227.8
