date,open,high,low,close,volume,adj_close
2016-11-25,115.8,115.8,115.8,115.8,82,115.8
2017-06-16,115.8,110.49,110.49,110.49,82,110.49
2020-05-07,110.49,92.7,92.7,110.49,2,110.49
2020-09-14,110.49,160.73,160.73,110.49,20,110.49
2020-09-23,110.49,165.1,165.1,165.1,10,165.1
2020-09-30,110.49,167.8,167.8,110.49,10,110.49
2020-12-03,110.49,168.55,168.55,110.49,15,110.49
2020-12-21,110.49,172.9,172.9,172.9,18,172.9
2021-01-07,110.49,158.82,158.82,158.82,22,158.82
2021-05-07,110.49,218.12,218.12,110.49,20,110.49
2021-05-14,110.49,217.27,217.27,217.27,122,217.27
2021-07-08,217.27,212.5,211.1,211.65,3493,211.65
2021-07-09,211.65,214.55,213.75,213.79,667,213.79
2021-07-12,213.79,213.76,212.2,212.91,610,212.91
2021-07-13,212.91,213.8,211.5,211.5,419,211.5
2021-07-14,211.5,211.57,210.16,210.35,553,210.35
2021-07-15,210.35,213.25,212.59,212.59,138,212.59
2021-07-19,212.59,209.13,208,208.48,77,208.48
2021-07-20,208.48,214.2,212.97,212.97,64,212.97
2021-07-21,212.97,214.17,213,213,125,213
2021-07-27,213,193.85,193.2,193.85,100,193.85
2021-07-28,193.85,192.8,192.8,192.8,46,192.8
2021-07-29,192.8,192.95,192.95,192.8,26,192.8
2021-07-30,192.8,191.4,191.4,191.4,52,191.4
2021-08-03,191.4,190.95,190.95,190.95,44,190.95
2021-08-04,190.95,192,191.33,191.76,223,191.76
2021-08-05,191.76,190.74,189.73,190.51,867,190.51
2021-08-06,190.51,193.4,192.27,192.95,691,192.95
2021-08-09,192.95,191.6,191.05,191.53,1050,191.53
2021-08-10,191.53,191.47,190.95,191.12,1117,191.12
2021-08-11,191.12,192.3,191.35,191.93,421,191.93
2021-08-16,191.93,196.2,196.2,196.2,75,196.2
2021-08-17,196.2,196.7,196.7,196.2,35,196.2
2021-08-20,196.2,193.7,193.7,196.2,23,196.2
2021-08-25,196.2,193.15,193.15,196.2,19,196.2
2021-09-03,196.2,197.4,197.4,196.2,21,196.2
2021-09-07,196.2,195.9,195.9,195.9,74,195.9
2021-10-12,195.9,181.4,181.01,181.4,141,181.4
2021-10-13,181.4,182.67,181.68,182.67,122,182.67
