date,open,high,low,close,volume,adj_close
2021-07-08,159836,160560,159540,159836,74,159836
2021-07-09,159836,160760,160330,160330,51,160330
2021-07-12,160330,159230,158350,160330,12,160330
2021-07-13,160330,159620,159620,160330,1,160330
2021-07-15,160330,161710,161350,160330,11,160330
2021-07-19,160330,159220,159220,160330,7,160330
2021-07-20,160330,163860,163360,160330,3,160330
2021-07-22,160330,160470,160470,160330,2,160330
2021-07-23,160330,162070,162070,160330,23,160330
2021-07-27,160330,148400,147000,160330,4,160330
2021-07-30,160330,144670,144670,160330,1,160330
2021-08-05,160330,149920,149920,160330,3,160330
2021-08-09,160330,149460,149150,149286,41,149286
2021-08-16,149286,155250,155250,149286,1,149286
