date,open,high,low,close,volume,adj_close
2014-04-21,40.52,40.52,40.52,40.52,610,40.52
2014-05-16,40.52,40.54,40.54,40.54,610,40.54
2018-02-22,40.54,55.48,55.48,55.48,605,55.48
2020-03-04,55.48,46.7,46.7,55.48,20,55.48
2020-03-26,55.48,32.6,32.6,55.48,90,55.48
2020-04-29,55.48,38.2,38.2,55.48,90,55.48
2020-05-07,55.48,34.66,34.66,55.48,2,55.48
2020-05-15,55.48,30.21,30.21,55.48,99,55.48
2020-06-05,55.48,42.4,42.4,42.4,250,42.4
2020-06-18,42.4,38.5,38.5,42.4,40,42.4
2020-07-07,42.4,35.85,35.85,35.85,605,35.85
2020-07-08,35.85,35.2,35.2,35.85,113,35.85
2020-07-14,35.85,36.7,36.7,35.85,138,35.85
2020-10-05,35.85,37.6,37.6,37.6,250,37.6
2020-10-07,37.6,38.99,38.99,38.99,99,38.99
