date,open,high,low,close,volume,adj_close
2013-07-31,179.8,179.8,179.8,179.8,55,179.8
2013-08-02,179.8,183.5,183.5,183.5,55,183.5
2013-08-21,183.5,172.86,172.86,172.86,141,172.86
2013-08-22,172.86,178.45,178.45,178.45,27,178.45
2013-11-26,178.45,202.58,202.58,202.58,27,202.58
2014-02-11,202.58,221.38,221.38,221.38,91,221.38
2014-02-14,221.38,224.25,224.25,224.25,12,224.25
2014-02-18,224.25,227.52,227.49,227.52,91,227.52
2014-02-24,227.52,226.28,226.28,226.28,12,226.28
2014-04-02,226.28,214.7,214.7,214.7,116,214.7
2014-04-03,214.7,215.4,215.4,215.4,92,215.4
2014-06-10,215.4,214,214,214,92,214
2014-06-11,214,214,214,214,116,214
2014-09-25,214,211.11,210.87,211.11,105,211.11
2014-09-26,211.11,211.55,211.55,211.55,47,211.55
2014-11-10,211.55,250.61,250.61,250.61,47,250.61
2014-11-12,250.61,249.94,249.94,249.94,28,249.94
2014-12-02,249.94,258.73,258.73,258.73,28,258.73
2015-01-23,258.73,258.81,258.81,258.81,100,258.81
2015-02-09,258.81,267.22,267.22,267.22,13,267.22
2015-02-11,267.22,264.97,264.97,264.97,30,264.97
2015-02-12,264.97,269.49,269.33,269.33,41,269.33
2015-02-13,269.33,269.85,269.85,269.85,29,269.85
2015-03-11,269.85,265.02,265.02,265.02,44,265.02
2015-03-16,265.02,267.41,267.41,267.41,23,267.41
2015-03-26,66.85,66.1,66.1,66.1,120,66.1
2015-04-06,66.1,65.38,65.38,65.38,65,65.38
2015-04-07,65.38,66.17,65.82,65.92,1155,65.92
2015-04-08,65.92,66.23,66.23,66.23,400,66.23
2015-04-09,66.23,65.9,65.9,65.9,76,65.9
2015-04-10,65.9,66.52,66.52,66.52,300,66.52
2015-04-16,66.52,65.87,65.78,65.83,1223,65.83
2015-04-20,65.83,65.1,65.1,65.1,500,65.1
2015-04-22,65.1,69.3,69.2,69.3,208,69.3
2015-04-23,69.3,67.76,67.76,67.76,230,67.76
2015-04-27,67.76,67.5,67.5,67.5,119,67.5
2015-05-08,67.5,69.56,67.5,69.34,2795,69.34
2015-05-11,69.34,69.26,69.26,69.26,105,69.26
2015-05-12,69.26,68.56,68.56,68.56,400,68.56
2015-05-14,68.56,69,69,69,152,69
2015-05-15,69,70.52,70.52,70.52,119,70.52
2015-05-19,70.52,70.25,70.2,70.25,141,70.25
2015-05-27,70.25,69.44,69.44,69.44,300,69.44
2015-06-02,69.44,69.35,69.35,69.35,43,69.35
2015-06-04,69.35,68.5,68.42,68.45,500,68.45
2015-06-19,68.45,69.07,69.07,69.07,60,69.07
2015-06-24,69.07,69.02,69.02,69.02,138,69.02
2015-06-30,69.02,67.11,67.11,67.11,71,67.11
2015-07-01,67.11,67.7,67.7,67.7,112,67.7
