date,open,high,low,close,volume,adj_close
2011-01-06,12000000,15500000,15500000,15500000,1,15500000
2012-11-05,15500000,15500000,15500000,15500000,1,15500000
2012-11-07,15500000,31000000,31000000,31000000,1,31000000
2013-06-20,31000000,12100000,12100000,12100000,1,12100000
2013-11-26,12100000,19000000,19000000,19000000,1,19000000
2015-08-24,19000000,17000000,17000000,17000000,1,17000000
2015-08-28,17000000,17000000,17000000,17000000,1,17000000
2015-12-24,17000000,17000000,17000000,17000000,1,17000000
2018-02-09,17000000,8000000,8000000,8000000,1,8000000
2018-04-19,8000000,9000000,9000000,9000000,1,9000000
2019-10-22,9000000,9000000,9000000,9000000,0,9000000
2019-11-19,9000000,9000000,9000000,9000000,0,9000000
2019-11-20,9000000,9000000,9000000,9000000,0,9000000
2019-11-23,9000000,9000000,9000000,9000000,0,9000000
2019-12-20,9000000,9000000,9000000,9000000,0,9000000
2020-04-18,9000000,9000000,9000000,9000000,0,9000000
