date,open,high,low,close,volume,adj_close
2008-08-20,135,135,125,135,28905,135
2008-08-21,135,135,135,135,10436,135
2008-08-22,135,125.01,125,125.01,99339,125.01
2008-08-25,125.01,135.25,130,130,51133,130
2008-08-26,130,135,132,132,52641,132
2008-08-27,132,132,120,127,97323,127
2008-08-28,127,120,120,120,38569,120
2008-08-29,120,110,110,110,32796,110
2008-09-01,110,120,110,110,224946,110
2008-09-02,120,130,110,110,135819,110
2008-09-03,110,110,105,105,83058,105
2008-09-04,105,95,90,95,86274,95
2008-09-05,95,95,95,95,49466,95
2008-09-08,95,90,90,90,70291,90
2008-09-09,90,68,61,68,1164914,68
2008-09-10,68,66,65,66,203736,66
2008-09-11,66,53,53,53.54,28144,53.54
2008-09-12,53.54,61,55,61,74562,61
2008-09-15,61,45,45,61,53139,61
2008-09-16,61,35,30,61,1045435,61
2009-05-29,225,300,220,225,1750078,225
2009-06-01,225.1,244,208,208.8,1620706,208.8
2009-06-02,208,210.01,181,199.52,1167212,199.52
2009-06-03,199.52,190.03,185,185.4,440649,185.4
2009-06-04,185.4,195,185,188,600863,188
2009-06-05,188,190,185,190,181290,190
2009-06-08,190,189,182,184,605722,184
2009-06-09,182.5,190,182.5,186.51,413146,186.51
2009-06-10,186.51,191,181,182,981571,182
2009-06-11,182,180,170,170,1437320,170
2009-06-12,170,171,158,160.11,449130,160.11
2009-06-15,160.11,175,158,170,243661,170
2009-06-16,170,170,166.99,168.01,564515,168.01
2009-06-17,168.01,173.6,160,170,363870,170
2009-06-18,170,179,169,175,440500,175
2009-06-19,175,179,175.2,175.2,71903,175.2
2009-06-22,175.2,175.2,155,155,1015479,155
2009-06-23,154,154,135,138.11,1753743,138.11
2009-06-24,138.11,150,140.12,138.11,1711708,138.11
2009-06-25,138.11,166,141,138.11,512328,138.11
2009-11-11,75,91,75,75,1237557,75
2009-11-12,75,75,68,70,1776370,70
2009-11-13,65,76,65,74,1030818,74
2009-11-16,74,74.2,70.51,71.1,1050080,71.1
2009-11-17,71.1,67.1,60.1,62.13,859389,62.13
2009-11-18,62.13,62,50,53.19,1483375,53.19
2009-11-19,53.19,53.15,42,45.5,1416616,45.5
2009-11-20,45.5,48,38,45.41,629077,45.41
2009-11-23,45.41,51,47,47.5,712522,47.5
