date,open,high,low,close,volume,adj_close
2009-06-03,289.2576,289.2577,273.1817,280.2715,5466199,280.2715
2009-06-04,280.2716,289.2512,279.6095,282.8234,3096826,282.8234
2009-06-05,289.2511,289.2512,279.6095,282.8876,2378562,282.8876
2009-06-08,282.8234,282.8234,277.6811,279.6095,2858423,279.6095
2009-06-09,279.6095,282.8234,278.9667,280.9529,1189284,280.9529
2009-06-10,282.8234,286.0373,276.3955,278.9153,3754692,278.9153
2009-06-11,282.8233,279.6095,269.325,269.9356,3645218,269.9356
2009-06-12,268.0394,269.9677,257.7549,264.4077,4441846,264.4077
2009-06-15,264.1827,273.1817,257.1121,270.6234,1509748,270.6234
2009-06-16,270.6234,270.6105,266.7539,268.0394,1428374,268.0394
2009-06-17,268.0394,268.0394,260.3261,264.8062,1535111,264.8062
2009-06-18,264.8062,273.8245,264.5041,268.5408,1808890,268.5408
2009-06-19,268.5408,273.1817,266.7539,266.7539,1184179,266.7539
2009-06-22,266.7539,266.7539,257.2087,258.417,1728957,258.417
2009-06-23,258.417,260.3261,247.4705,250.5365,3753377,250.5365
2009-06-24,250.0479,260.3261,250.048,253.0883,2065155,253.0883
2009-06-25,252.6127,274.4673,252.6127,273.5288,3671805,273.5288
2009-06-26,276.4663,282.8234,276.3955,280.098,6482950,280.098
2009-06-30,279.6094,282.8234,272.2175,276.6848,2584212,276.6848
2009-07-01,276.6848,276.717,269.9677,270.0513,2768579,270.0513
2009-07-02,269.9678,269.9677,260.9688,261.451,2400806,261.451
2009-07-03,261.4509,268.0394,261.6116,263.8613,1062496,263.8613
2009-07-06,263.8614,264.8256,258.4748,261.6438,607396,261.6438
2009-07-07,261.6115,263.54,258.7192,260.0753,1242854,260.0753
2009-07-08,260.0754,262.2544,251.9698,252.1178,1659573,252.1178
2009-07-09,251.97,254.5474,248.1133,253.9369,1932648,253.9369
2009-07-10,255.666,259.0405,253.8983,254.6054,883934,254.6054
2009-07-13,254.6053,260.3325,255.8267,260.2618,1231478,260.2618
2009-07-14,260.2617,266.0469,260.9688,261.2902,1023379,261.2902
2009-07-15,261.2903,266.7539,262.2544,266.0404,1091687,266.0404
2009-07-17,266.0404,269.6464,266.7539,266.7539,704896,266.7539
2009-07-20,266.754,268.0394,262.2544,267.1975,1004551,267.1975
2009-07-21,267.1973,269.9677,265.4682,266.1046,1216832,266.1046
2009-07-22,266.1047,265.4682,262.2544,263.2186,686255,263.2186
2009-07-23,263.2185,264.1828,261.6116,262.2736,732935,262.2736
2009-07-24,262.2737,263.54,262.2544,263.54,380716,263.54
2009-07-27,268.6822,268.6822,264.1828,264.247,668440,264.247
2009-07-28,264.2471,264.8256,257.1121,257.9671,1768070,257.9671
