date,open,high,low,close,volume,adj_close
2021-03-03,154860,156480,154860,154860,70,154860
2021-03-11,154860,162430,162430,162430,60,162430
2021-03-15,162430,163090,161820,162430,4,162430
2021-03-23,162430,151900,151900,162430,3,162430
2021-03-26,162430,154240,154240,162430,14,162430
2021-05-03,162430,166520,166520,162430,5,162430
2021-05-04,162430,163830,163830,162430,5,162430
2021-05-06,162430,162000,162000,162430,1,162430
2021-05-07,162430,162200,162000,162430,11,162430
2021-05-11,162430,159500,157300,162430,16,162430
2021-05-12,162430,158350,157200,162430,10,162430
2021-05-14,162430,158490,158490,162430,20,162430
2021-06-04,162430,164910,164910,162430,1,162430
2021-06-07,162430,168230,166840,162430,6,162430
2021-06-09,162430,168440,168440,162430,17,162430
2021-06-10,162430,169040,169040,162430,3,162430
2021-06-14,162430,168200,167800,168200,17,168200
2021-06-23,162430,173950,173950,162430,6,162430
2021-06-24,162430,174840,174840,162430,5,162430
2021-06-29,162430,173950,173950,162430,5,162430
2021-06-30,162430,172970,172700,162430,25,162430
2021-07-07,162430,180840,180840,162430,10,162430
2021-07-08,162430,178650,178600,162430,13,162430
2021-07-12,162430,177410,177410,162430,5,162430
2021-07-15,162430,187510,187510,162430,3,162430
2021-07-19,162430,189850,184470,162430,30,162430
2021-07-20,162430,178390,178390,162430,15,162430
2021-07-21,162430,185550,184400,162430,15,162430
2021-07-27,162430,191850,191850,162430,10,162430
2021-07-28,162430,190080,190080,162430,2,162430
