date,open,high,low,close,volume,adj_close
2009-06-03,130,149,140,149,49584,149
2009-06-04,149,155,149,154.9,74430,154.9
2009-06-05,154.9,155,155,155,15419,155
2009-06-08,155,149,149,149,5000,149
2009-06-09,149,148,148,148,33121,148
2009-06-10,148,145,145,145,36517,145
2009-06-11,145,140,138.5,138.5,70717,138.5
2009-06-12,138.5,135,134.9,135,130713,135
2009-06-15,135,135,135,135,10000,135
2009-06-16,135,135,135,135,600000,135
2009-06-19,135,142,140,142,1010000,142
2009-06-22,142,143,142,142,44935,142
2009-06-23,142,142,142,142,197801,142
2009-06-24,142,147,147,147,13512,147
2009-06-25,147,147,147,147,5000,147
2009-06-30,147,147,147,147,5000,147
2009-07-01,150,147,147,147,1200,147
2009-07-02,147,150,150,150,3800,150
2009-07-03,150,149,147,149,827490,149
2009-07-06,149,150.01,149,150.01,479540,150.01
2009-07-07,150.01,150,150,150,136230,150
2009-07-08,150,149.9,149.9,149.9,1400000,149.9
2009-07-13,149.9,152,152,152,10000,152
2009-07-14,152,151,151,151,69500,151
2009-07-20,151,151,151,151,700000,151
2009-07-21,151,153,152,153,25500,153
2009-07-22,153,153,153,153,300,153
2009-07-29,153,151.9,147,151.9,11582,151.9
2009-07-31,151.9,151.9,151.5,151.9,12573,151.9
2009-08-03,151.9,152,150,151.5,38000,151.5
2009-08-04,151.5,151,151,151,6304,151
2009-08-06,151,150,150,150,16626,150
2009-08-12,150,155,155,155,682542,155
2009-08-13,155,155,155,155,33370,155
2009-08-14,155,155,155,155,60000,155
2009-08-17,155,155,155,155,565155,155
2009-08-21,155,158,152,158,14000,158
2009-08-24,158,162,160,162,29260,162
2009-08-26,162,162,162,162,2440,162
2009-08-27,162,162,162,162,28300,162
2009-08-28,162,162,162,162,743070,162
2009-08-31,162,162.01,162.01,162.01,43617,162.01
2009-09-04,162.01,161.9,161.9,161.9,1316668,161.9
2009-09-07,161.9,161.9,161.9,161.9,525,161.9
2009-09-09,161.9,161.9,161.9,161.9,745,161.9
2009-09-23,161.9,160,155,159.37,19421,159.37
2009-09-25,159.37,159.37,159.37,159.37,2160,159.37
2009-09-28,159.37,155,155,155,4780,155
2009-09-29,155,155,155,155,201220,155
2009-09-30,155,153,153,153,65359,153
2009-10-01,153,153,147,151.16,157108,151.16
2009-10-02,151.16,153,147,147,51563,147
2009-10-06,147,143,143,143,10000,143
2009-10-07,143,143,143,143,2290,143
2009-10-08,143,143,143,143,200,143
2009-10-13,143,143,143,143,60000,143
2009-10-15,143,143,143,143,45000,143
2009-10-16,143,145,145,145,5735,145
2009-10-19,145,150,147,147,130148,147
2009-10-27,147,146,146,146,3401,146
2009-11-10,146,145.5,138,145.5,15060,145.5
2009-11-11,145.5,146,146,146,5000,146
2009-11-17,146,146,146,146,56544,146
2009-11-18,146,146,145,145.99,105000,145.99
2009-11-19,145.99,141.99,135.01,141.99,193205,141.99
2009-11-23,141.99,142,142,142,6574,142
2009-11-24,142,144,144,144,3000,144
2009-11-26,144,138,138,138,100000,138
2009-12-03,138,138,137.9,137.9,2131792,137.9
2009-12-09,137.9,140,140,140,7345,140
2009-12-11,140,140,140,140,795,140
