date,open,high,low,close,volume,adj_close
2009-06-25,18,18,18,18,2000000,18
2009-07-08,18,18,18,18,2000000,18
2009-07-31,18,17,17,17,70000,17
2009-08-04,17,17,17,17,8006,17
2009-08-25,17,15,15,15,83131,15
2009-09-02,15,14.5,14.5,14.5,31523,14.5
2009-09-16,14.5,14.5,14.5,14.5,28240,14.5
2009-10-22,14.5,14.5,14.5,14.5,680,14.5
2009-11-23,14.5,14.49,14.49,14.49,133438,14.49
2010-01-08,14.49,14.49,14.49,14.49,720,14.49
2010-03-12,14.49,14.49,14.49,14.49,3000,14.49
2010-05-24,14.49,14.49,14.49,14.49,680,14.49
2010-05-25,14.49,14.49,14.49,14.49,4320,14.49
2010-05-26,14.49,10.01,10,10.01,1535869,10.01
2010-05-27,10.01,10,10,10,1499951,10
2010-05-31,10,10,10,10,134667,10
2010-06-01,10,10,10,10,1280000,10
2010-06-02,10,10,10,10,49657,10
2010-07-01,10,11,11,11,44775,11
2010-07-15,11,10,10,10,955225,10
2010-07-21,10,10,10,10,26667,10
2010-08-10,10,10,10,10,43783,10
2010-08-11,10,10,10,10,929550,10
2010-08-12,10,10,10,10,70450,10
2010-08-27,10,10,10,10,1000,10
2010-09-01,10,10,10,10,3553,10
2010-09-03,10,10,10,10,28753,10
2010-09-16,10,10,10,10,134666,10
2010-10-01,10,10,10,10,74123,10
2010-10-05,10,10,10,10,7920,10
2010-10-13,10,10,10,10,23371,10
2010-10-14,10,10,10,10,680,10
2010-10-18,10,10,10,10,31323,10
2010-10-22,10,10,10,10,286893,10
2010-11-08,10,10,10,10,510,10
2010-11-12,10,10.01,10.01,10.01,461010,10.01
2010-11-30,10.01,10.01,10.01,10.01,49399,10.01
2011-01-13,10.01,10.01,10.01,10.01,12000,10.01
2011-01-19,10.01,10,10,10,59040,10
2011-03-09,10,10,10,10,16227,10
2011-03-18,10,10.01,10.01,10.01,65333,10.01
2011-04-21,10.01,10,10,10,139050,10
2011-04-27,10,10,10,10,144223,10
2011-04-28,10,10,10,10,114821,10
2011-05-06,10,10,10,10,2250,10
2011-05-12,10,10,10,10,39147,10
2011-05-19,10,10,10,10,726281,10
2011-05-30,10,10,10,10,79137,10
2011-06-01,10,10,10,10,160000,10
2011-06-03,10,10,10,10,46151,10
2011-06-14,10,10,10,10,121333,10
2011-06-15,10,10,10,10,78667,10
2011-08-26,10,9,9,9,95290,9
2011-09-01,9,9.5,9.5,9.5,1114361,9.5
2011-09-02,9.5,10,9.51,10,1210044,10
2011-10-24,10,12,12,12,1250815,12
2011-11-22,12,12,12,12,22666,12
2011-11-25,12,11,11,11,41895,11
2011-12-09,11,11,11,11,1000,11
2012-01-06,11,11,11,11,133333,11
2012-01-12,11,11,11,11,65333,11
2012-01-17,11,10,10,10,45566,10
2012-03-06,10,10,10,10,46151,10
2012-05-25,10,10,10,10,217,10
2012-07-04,10,10,10,10,336000,10
2012-08-24,10,9.8,9.8,9.8,188806,9.8
