date,open,high,low,close,volume,adj_close
2009-06-03,1000,1033,1000,1000,1500,1000
2009-06-05,1000,1050,1050,1050,3000,1050
2009-06-08,1050,1150,1150,1150,10000,1150
2009-06-09,1150,1150,1150,1150,1593,1150
2009-06-10,1150,1150,1150,1150,2030,1150
2009-06-11,1150,1250,1240,1250,4269,1250
2009-06-15,1250,1250,1250,1250,1175,1250
2009-06-16,1250,1250,1250,1250,500,1250
2009-06-19,1250,1200,1200,1200,1593,1200
2009-06-22,1200,1230,1200,1200,31356,1200
2009-07-09,1200,1225,1225,1225,1100,1225
2009-08-14,1225,1225,1225,1225,203,1225
2009-09-04,1225,1225,1200,1225,11959,1225
2009-09-08,1225,1235,1220,1235,6653,1235
2009-09-09,1235,1240,1240,1240,10000,1240
2009-09-14,1240,1200.1,1200,1200.1,583333,1200.1
2009-09-21,1200.1,1230,1230,1230,5000,1230
2009-09-22,1230,1250,1250,1250,7105,1250
2009-09-24,1250,1250.1,1250.1,1250.1,80000,1250.1
2009-10-01,1250.1,1250,1250,1250,10000,1250
2009-10-14,1250,1255,1255,1255,2300,1255
2009-10-19,1255,1260,1260,1260,24500,1260
2009-10-27,1260,1260,1260,1260,12173,1260
2009-10-29,1260,1265,1265,1265,27866,1265
2009-10-30,1265,1300,1265,1300,9403,1300
2009-11-02,1300,1330,1330,1330,5500,1330
2009-11-09,1330,1350,1350,1350,42224,1350
2009-11-10,1350,1400.1,1400,1400,141074,1400
2009-11-17,1400,1450,1430,1430,2500,1430
2009-11-23,1430,1435,1435,1435,2500,1435
2009-11-24,1435,1435,1435,1435,10000,1435
2009-11-25,1435,1450,1450,1450,5000,1450
2009-11-26,1450,1450,1450,1450,500,1450
2009-12-03,1450,1450,1445,1450,69034,1450
2009-12-04,1450,1470,1470,1470,5000,1470
2009-12-09,1470,1470,1470,1470,10000,1470
2009-12-14,1470,1470,1470,1470,500,1470
2009-12-17,1470,1470,1450,1450,12689,1450
2010-01-05,1450,1450,1450,1450,70,1450
2010-01-06,1450,1470,1470,1470,57518,1470
2010-01-08,1470,1500,1500,1500,4000,1500
2010-01-14,1500,1500,1500,1500,8500,1500
2010-01-20,1500,1550,1550,1550,1623,1550
2010-01-21,1550,1550,1550,1550,23064,1550
2010-01-25,1550,1550,1550,1550,8500,1550
2010-01-29,1550,1550.1,1550.1,1550.1,4355,1550.1
2010-02-01,1550.1,1595,1595,1595,1007,1595
2010-02-03,1595,1600,1600,1600,600,1600
2010-02-09,1600,1600,1600,1600,803,1600
2010-02-16,1600,1620,1620,1620,618,1620
2010-02-17,1620,1620,1620,1620,977,1620
2010-02-22,1620,1620,1620,1620,444,1620
2010-02-26,1620,1625,1625,1625,333,1625
2010-03-01,1625,1700,1700,1700,2000,1700
2010-03-02,1700,2000,1800,2000,3777,2000
2010-03-03,2300,2400,2150,2300,178632,2300
2010-03-04,2400,2530,2300,2342.3,118405,2342.3
2010-03-05,2342.3,2350,2170,2250,15217,2250
2010-03-08,2250,2301,2257,2260,72680,2260
2010-03-09,2400,2300,2245,2245,47205,2245
2010-03-10,2250,2340,2250,2250,9269,2250
2010-03-11,2250,2250,2100,2220,5874,2220
2010-03-12,2220,2200,2090,2090,12108,2090
2010-03-15,2090,2100,2000,2000,3167,2000
2010-03-16,2000,2000,1930,1930,13120,1930
2010-03-17,1930,2001,1900,2000.1,26238,2000.1
2010-03-18,2000.1,2010,2000,2000,106802,2000
2010-03-19,2000,2001,2000,2000,1333,2000
2010-03-22,2000,2001,2001,2001,2050,2001
2010-03-23,2001,2000,2000,2000,1104,2000
2010-03-25,2000,2000,2000,2000,3000,2000
2010-03-26,2000,2000,2000,2000,1516,2000
2010-03-29,2000,2000,2000,2000,5327,2000
2010-03-30,2000,2050,2048,2050,27312,2050
2010-03-31,2050,2020,2020,2020,1030,2020
2010-04-01,2020,2050,2020,2050,3734,2050
2010-04-05,2050,2050,2050,2050,10,2050
2010-04-06,2050,2050,2050,2050,1266,2050
2010-04-09,2050,2050,2050,2050,95,2050
2010-04-12,2050,2000,2000,2000,4878,2000
2010-04-13,2000,2000,1905,2000,1638,2000
2010-04-15,2000,1950,1950,1950,5142,1950
2010-04-19,1950,1920,1920,1920,1210,1920
2010-04-22,1920,1800,1800,1800,11687,1800
2010-04-23,1800,1820,1800,1820,6603,1820
2010-04-27,1820,1820,1810,1810.1,13373,1810.1
2010-04-29,1810.1,1855,1855,1855,1000,1855
2010-04-30,1855,1801,1801,1801,3500,1801
2010-05-05,1801,1800,1800,1800,3312,1800
2010-05-06,1800,1806,1800,1806,1500,1806
2010-05-10,1806,1806,1800,1800,2685,1800
2010-05-11,1800,1810,1803,1803,1783,1803
2010-05-12,1803,1850,1850,1850,670,1850
2010-05-13,1850,1880,1865,1874.4,6800,1874.4
2010-05-14,1874.4,1880,1870,1880,216116,1880
2010-05-18,1880,1880,1880,1880,208,1880
2010-05-19,1880,1850,1850,1850,2148,1850
2010-05-24,1850,1850,1850,1850,1105,1850
2010-05-26,1850,1880.1,1880.1,1880.1,1000,1880.1
2010-05-27,1880.1,1881.1,1881.1,1881.1,613,1881.1
2010-05-31,1881.1,2010,2000,2010,1500,2010
2010-06-01,2010,2100,2100,2100,5471,2100
2010-06-02,2100,2300,2100,2255.3,11560,2255.3
2010-06-03,2255.3,2255.3,2255.3,2255.3,130,2255.3
2010-06-04,2255.3,2150,2150,2150,290608,2150
2010-06-07,2150,2150,2150,2150,465,2150
2010-06-09,2150,2150,2150,2150,9500,2150
2010-06-10,2150,2150,2150,2150,1000,2150
2010-06-15,2150,2200,2200,2200,1000,2200
2010-06-17,2200,2100,2100,2100,209,2100
2010-06-21,2100,2155,2155,2155,429,2155
2010-06-22,2155,2200,2199,2200,6818,2200
2010-06-23,2200,2200,2200,2200,450,2200
2010-06-30,2200,2200,2200,2200,609,2200
2010-07-02,2200,2200,2200,2200,110455,2200
2010-07-07,2200,2200,2200,2200,131,2200
2010-07-13,2200,2200,2200,2200,119,2200
2010-07-15,2200,2300,2200,2300,5939,2300
2010-07-21,2300,2300,2300,2300,10000,2300
2010-07-27,2300,2290,2290,2290,434,2290
2010-07-28,2290,2280,2280,2280,250,2280
2010-07-30,2280,2280,2280,2280,250,2280
2010-08-02,2280,2300,2280,2280,6500,2280
2010-08-03,2280,2300,2280,2280,6738,2280
2010-08-06,2280,2270,2270,2270,500,2270
2010-08-11,2270,2270,2270,2270,500,2270
2010-08-12,2270,2280,2280,2280,7768,2280
2010-08-13,2280,2350,2280,2350,12700,2350
2010-08-16,2350,2281,2281,2281,10838,2281
2010-08-17,2281,2281,2280.9,2281,7014,2281
2010-08-18,2281,2281,2215,2215,4750,2215
2010-08-19,2215,2280,2110,2280,3327,2280
2010-08-20,2280,2280,2280,2280,100,2280
2010-08-23,2280,2200,2200,2200,7711,2200
2010-08-24,2200,2220,2200,2220,7389,2220
2010-08-25,2220,2240,2230,2240,1490,2240
2010-08-27,2240,2240,2240,2240,1589,2240
2010-08-30,2240,2220,2220,2220,1017,2220
2010-08-31,2220,2230,2230,2230,193,2230
2010-09-01,2230,2230,2220,2226.2,1830,2226.2
2010-09-02,2226.2,2230,2230,2230,3000,2230
2010-09-03,2230,2220,2200,2200,3027,2200
2010-09-07,2200,2200,2200,2200,227,2200
2010-09-08,2200,2200,2200,2200,1146,2200
2010-09-10,2200,2260,2230,2260,10368,2260
2010-09-13,2260,2255,2255,2255,1311,2255
2010-09-14,2255,2245,2241,2241,866,2241
2010-09-15,2241,2231,2231,2231,1009,2231
2010-09-16,2231,2231,2231,2231,1703,2231
2010-09-21,2231,2250,2245,2250,3222,2250
2010-09-22,2250,2250,2250,2250,465,2250
2010-09-24,2250,2330,2330,2330,2317,2330
2010-09-27,2330,2360,2360,2360,565,2360
2010-09-28,2360,2380,2360,2380,1349,2380
2010-09-29,2380,2380,2380,2380,760,2380
2010-09-30,2380,2380,2380,2380,2480,2380
2010-10-01,2380,2380,2380,2380,2606,2380
2010-10-06,2380,2380,2380,2380,3020,2380
2010-10-07,2380,2380,2380,2380,904,2380
2010-10-08,2380,2380,2380,2380,3184,2380
2010-10-13,2380,2379,2379,2379,1097,2379
2010-10-25,2379,2246,2246,2246,2190,2246
2010-10-28,2246,2246,2246,2246,150,2246
2010-11-02,2246,2225,2225,2225,8000,2225
2010-11-05,2225,2225,2205,2205,19635,2205
2010-11-08,2205,2205,2205,2205,40000,2205
2010-11-09,2205,2205,2205,2205,200,2205
2010-11-12,2205,2200,2180,2180,3315,2180
2010-11-15,2180,2180.1,2180,2180,1428,2180
2010-11-17,2180,2200,2200,2200,3200,2200
2010-11-18,2200,2200,2200,2200,101889,2200
2010-11-24,2200,2200,2200,2200,428,2200
2010-11-26,2200,2200,2200,2200,100,2200
