date,open,high,low,close,volume,adj_close
2009-06-03,4.2,4.2,4.1,4.2,19674550,4.2
2009-06-04,4.2,4.3,4.2,4.3,922423,4.3
2009-06-05,4.3,4.29,4.21,4.21,2071716,4.21
2009-06-08,4.21,4.25,4.25,4.25,200000,4.25
2009-06-09,4.25,4.36,4.35,4.35,1557136,4.35
2009-06-10,4.36,4.4,4.36,4.4,4754545,4.4
2009-06-11,4.4,4.4,4.399,4.4,8003545,4.4
2009-06-12,4.4,4.4,4.3,4.31,2931920,4.31
2009-06-15,4.31,4.31,4.31,4.31,789683,4.31
2009-06-16,4.31,4.31,4.3,4.3,15935410,4.3
2009-06-17,4.3,4.295,4.295,4.295,162791,4.295
2009-06-18,4.295,4.295,4.25,4.295,1030606,4.295
2009-06-19,4.295,4.295,4.295,4.295,847472,4.295
2009-06-22,4.295,4.2,4.2,4.2,645022,4.2
2009-06-23,4.2,4.15,4.15,4.15,724364,4.15
2009-06-24,4.15,4.1,3.999,4.05,500000,4.05
2009-06-25,4.05,4.1,4.05,4.1,5187338,4.1
2009-06-30,4.1,4.2,4.2,4.2,690000,4.2
2009-07-01,4.2,4.2,4.2,4.2,500000,4.2
2009-07-03,4.2,4.2,4.15,4.15,480137,4.15
2009-07-06,4.15,4.15,4.1,4.1,471760,4.1
2009-07-07,4.1,4.08,4.08,4.08,120000,4.08
2009-07-08,4.08,4,4,4,2742945,4
2009-07-09,4,4,4,4,332409,4
2009-07-13,4,3.95,3.93,3.95,3233240,3.95
2009-07-14,3.95,3.95,3.9,3.9,3301839,3.9
2009-07-15,3.9,3.91,3.91,3.91,170312,3.91
2009-07-17,3.91,3.9,3.9,3.9,171635,3.9
2009-07-20,3.9,3.91,3.91,3.91,473410,3.91
2009-07-23,3.91,4.16,4,4.16,3713716,4.16
2009-07-24,4.16,4.15,4.15,4.15,190456,4.15
2009-07-27,4.15,4.15,4.15,4.15,216004,4.15
2009-07-28,4.15,4.1,4.02,4.02,922498,4.02
2009-07-29,4.02,4.021,4.02,4.02,1029422,4.02
2009-07-30,4.02,4.12,4.05,4.1,3894684,4.1
2009-07-31,4.1,4.1,4.1,4.1,200000,4.1
2009-08-03,4.1,4.1,4.1,4.1,2430286,4.1
2009-08-05,4.1,4.1,4.05,4.05,2543097,4.05
2009-08-06,4.05,4.16,4.05,4.14,2466275,4.14
2009-08-07,4.14,4.15,4.15,4.15,235000,4.15
2009-08-10,4.15,4.1,4.1,4.1,1539911,4.1
2009-08-11,4.1,4.07,4.05,4.07,7600102,4.07
2009-08-13,4.07,4.07,4.07,4.07,654991,4.07
2009-08-14,4.07,4.1,4.1,4.1,184400,4.1
2009-08-17,4.1,4.1,4.1,4.1,357142,4.1
2009-08-18,4.1,4.15,4.1,4.15,3989672,4.15
2009-08-19,4.15,4.22,4.2,4.2,5983365,4.2
2009-08-20,4.2,4.2,4.2,4.2,2300000,4.2
2009-08-21,4.2,4.25,4.248,4.248,3942243,4.248
2009-08-25,4.248,4.2,4.2,4.2,317500,4.2
2009-08-26,4.2,4.25,4.22,4.25,3549196,4.25
2009-08-27,4.25,4.2,4.2,4.2,1000000,4.2
2009-08-28,4.2,4.2,4.2,4.2,1643470,4.2
2009-08-31,4.2,4.2,4.2,4.2,1190460,4.2
2009-09-01,4.2,4.2,4.2,4.2,145591,4.2
2009-09-02,4.2,4.1,4.1,4.1,1112313,4.1
2009-09-03,4.1,4.11,4.1,4.11,977122,4.11
2009-09-07,4.11,4.12,4.1,4.12,6357596,4.12
2009-09-10,4.12,4.1,4.1,4.1,5453064,4.1
2009-09-14,4.1,4.1,4.1,4.1,125000,4.1
2009-09-15,4.1,4.1,4.1,4.1,100000,4.1
2009-09-16,4.1,4.2,4.1,4.2,5957053,4.2
2009-09-17,4.2,4.2,4.2,4.2,95250,4.2
2009-09-28,4.2,4.1,4.1,4.1,4627000,4.1
2009-09-29,4.1,4,4,4,125000,4
2009-09-30,4,4,4,4,53750,4
2009-10-01,4,4.1,4.01,4.1,3576533,4.1
2009-10-02,4.1,4.15,4.15,4.15,1321754,4.15
2009-10-05,4.15,4.15,4.14,4.14,1177662,4.14
2009-10-06,4.14,4.1,4.1,4.1,5296757,4.1
2009-10-07,4.1,4.1,4,4,7919621,4
2009-10-08,4,4,4,4,600000,4
2009-10-09,4,4.1,3.96,3.96,2817010,3.96
2009-10-14,3.96,4.05,4,4.05,401488,4.05
2009-10-15,4.05,4,4,4,149253,4
2009-10-16,4,4,3.98,3.98,2556747,3.98
2009-10-19,3.98,4,3.96,4,3881583,4
2009-10-20,4,3.96,3.96,3.96,675421,3.96
2009-10-21,3.96,4,4,4,1594540,4
2009-10-22,4,3.96,3.92,3.921,2803306,3.921
2009-10-23,3.921,3.95,3.95,3.95,650000,3.95
2009-10-30,3.95,3.95,3.95,3.95,257500,3.95
2009-11-02,3.95,3.95,3.949,3.95,13271620,3.95
2009-11-03,3.95,3.95,3.95,3.95,86876,3.95
2009-11-05,3.95,4,3.93,4,468424,4
2009-11-06,4,3.95,3.95,3.95,136576,3.95
2009-11-10,3.95,3.94,3.94,3.94,5361753,3.94
2009-11-12,3.94,3.8,3.8,3.8,2249000,3.8
2009-11-13,3.8,3.8,3.8,3.8,17095230,3.8
2009-11-18,3.8,3.8,3.8,3.8,10845120,3.8
2009-11-19,3.8,3.801,3.8,3.8,41096170,3.8
2009-11-23,3.8,3.81,3.8,3.8,2706304,3.8
2009-11-24,3.8,3.8,3.8,3.8,3953501,3.8
2009-11-25,3.8,3.8,3.8,3.8,500000,3.8
2009-11-26,3.8,3.8,3.8,3.8,20000000,3.8
2009-11-27,3.8,3.8,3.8,3.8,353000,3.8
2009-11-30,3.8,3.8,3.8,3.8,50000,3.8
2009-12-01,3.8,3.9,3.9,3.9,10883440,3.9
2009-12-02,3.9,3.9,3.9,3.9,62000,3.9
2009-12-04,3.9,3.75,3.71,3.75,3636480,3.75
2009-12-07,3.75,3.75,3.74,3.75,7030000,3.75
2009-12-09,3.75,3.75,3.75,3.75,1074451,3.75
2009-12-10,3.75,3.75,3.75,3.75,5450000,3.75
2009-12-14,3.75,3.65,3.65,3.65,1244445,3.65
2009-12-15,3.65,3.7,3.65,3.7,5233192,3.7
2009-12-16,3.7,3.7,3.7,3.7,1000000,3.7
2009-12-18,3.7,3.7,3.7,3.7,61669400,3.7
2009-12-21,3.7,3.7,3.69,3.69,1494328,3.69
2009-12-22,3.69,3.7,3.69,3.7,2281666,3.7
2009-12-24,3.7,3.7,3.7,3.7,8568774,3.7
2009-12-29,3.7,3.7,3.7,3.7,450000,3.7
2009-12-30,3.7,3.7,3.7,3.7,4489996,3.7
2010-01-04,3.7,3.7,3.7,3.7,150000,3.7
2010-01-05,3.7,3.69,3.69,3.69,2000000,3.69
2010-01-06,3.69,3.7,3.69,3.7,985718,3.7
2010-01-07,3.7,3.7,3.69,3.7,4899575,3.7
2010-01-08,3.7,3.7,3.631,3.7,904000,3.7
2010-01-12,3.7,3.75,3.75,3.75,1000000,3.75
2010-01-13,3.75,3.751,3.75,3.751,957079,3.751
2010-01-14,3.751,3.95,3.75,3.95,102580200,3.95
2010-01-15,3.95,4.01,3.93,4,5698602,4
2010-01-18,4,4.01,4,4.01,1183020,4.01
2010-01-19,4.01,4.02,4,4,2085000,4
2010-01-20,4,4,4,4,3615200,4
2010-01-21,4,4,4,4,1500000,4
2010-01-22,4,3.91,3.9,3.91,1479647,3.91
2010-01-25,3.91,3.91,3.91,3.91,1949260,3.91
