date,open,high,low,close,volume,adj_close
2013-07-22,50.09,50.09,50.09,50.09,496,50.09
2013-08-14,50.09,49.02,48.92,49.02,394,49.02
2013-09-06,49.02,46.41,46.41,46.41,600,46.41
2013-09-23,46.41,47.45,47.45,47.45,600,47.45
2013-10-01,47.45,46.9,46.9,46.9,178,46.9
2013-10-03,46.9,47.05,47.05,47.05,38,47.05
2014-02-13,47.05,47.13,47.13,47.13,370,47.13
2014-02-26,47.13,46.26,46.26,46.26,194,46.26
2014-03-13,46.26,46.05,46.05,46.05,564,46.05
2014-03-14,46.05,46.08,46.08,46.08,430,46.08
2014-03-21,46.08,47.02,47.02,47.02,430,47.02
2014-04-07,47.02,48.19,48.13,48.13,280,48.13
2014-05-15,48.13,47.96,47.96,47.96,115,47.96
2014-05-16,47.96,49.09,49.01,49.01,776,49.01
2014-06-17,49.01,49.08,49.08,49.08,338,49.08
2014-06-18,49.08,48.89,48.89,48.89,265,48.89
2014-07-21,48.89,50.73,50.73,50.73,97,50.73
2014-07-24,50.73,51.22,51.22,51.22,338,51.22
2014-08-05,51.22,49.62,49.62,49.62,40,49.62
2014-08-06,49.62,49.17,49.17,49.17,3,49.17
2014-08-13,49.17,48.9,48.8,48.8,300,48.8
2014-08-18,48.8,48.7,48.7,48.7,200,48.7
2014-08-22,48.7,48.71,48.71,48.71,115,48.71
2014-09-08,48.71,49.55,49.55,49.55,201,49.55
2014-11-03,49.55,50.3,50.3,50.3,200,50.3
2014-11-05,50.3,50.34,50.34,50.34,97,50.34
2014-11-12,50.34,50.99,50.99,50.99,107,50.99
2014-11-21,50.99,50.13,50.13,50.13,192,50.13
2014-11-25,50.13,49.09,49.09,49.09,201,49.09
2014-11-28,49.09,50.51,50.51,50.51,100,50.51
2014-12-03,50.51,48.91,48.91,48.91,115,48.91
2014-12-05,48.91,48.53,48.53,48.53,143,48.53
2015-01-14,48.53,46.88,46.83,46.83,312,46.83
2015-01-15,46.83,47,47,47,211,47
2015-01-26,47,47,47,47,165,47
2015-02-24,47,48.79,48.79,48.79,306,48.79
2015-03-20,48.79,49.38,49.38,49.38,107,49.38
2015-05-04,49.38,50.7,50.7,50.7,211,50.7
2015-05-08,50.7,50.13,50.13,50.13,143,50.13
2015-07-23,50.13,46.45,46.45,46.45,82,46.45
2015-09-15,46.45,46.11,46.11,46.11,78,46.11
2015-09-21,46.11,44.67,44.67,44.67,78,44.67
2016-03-15,44.67,52.65,52.65,52.65,200,52.65
2016-03-22,52.65,53.23,53.23,53.23,78,53.23
2016-07-15,53.23,56,56,56,82,56
2016-08-10,56,53.84,53.84,53.84,178,53.84
2016-10-07,53.84,50,50,50,200,50
2017-02-16,50,47.86,47.86,47.86,306,47.86
2017-03-15,47.86,49.57,49.57,49.57,82,49.57
2017-03-28,49.57,48.84,48.81,48.81,90,48.81
2017-08-02,48.81,48.4,48.4,48.4,82,48.4
2017-09-15,48.4,47.2,47.2,47.2,100,47.2
2017-11-29,47.2,50.11,50.11,50.11,74,50.11
2017-12-20,50.11,53.08,53.08,53.08,90,53.08
2018-08-20,53.08,54.82,54.82,54.82,182,54.82
2019-05-10,54.82,56.77,56.77,56.77,100,56.77
2019-09-06,56.77,58.72,58.72,58.72,850,58.72
2020-01-21,58.72,60.2,60.2,60.2,850,60.2
2020-01-30,60.2,58.61,58.61,60.2,42,60.2
2020-03-24,60.2,49.5,49.5,60.2,120,60.2
2020-04-09,60.2,57.97,57.97,60.2,4,60.2
2020-05-07,60.2,55.6,55.6,60.2,1,60.2
2020-05-28,60.2,55.29,55.29,60.2,110,60.2
2020-07-09,60.2,54.7,54.7,60.2,53,60.2
2020-07-15,60.2,55.37,55.37,60.2,100,60.2
2020-07-24,60.2,56.35,56.35,60.2,50,60.2
2020-08-14,60.2,58.29,58.29,60.2,42,60.2
2020-08-18,60.2,59.21,59.21,60.2,90,60.2
2020-09-04,60.2,60.73,60.73,60.2,60,60.2
2020-09-29,60.2,59.2,59.2,59.2,30,59.2
2020-10-29,60.2,56.7,56.7,60.2,50,60.2
2020-11-25,60.2,60.51,60.51,60.2,60,60.2
2020-11-30,60.2,60.57,60.57,60.57,3950,60.57
2020-12-01,60.57,60.4,60.4,60.57,8,60.57
2021-02-22,60.57,56.34,56.34,56.34,70,56.34
2021-02-25,60.57,56.8,56.8,56.8,1050,56.8
2021-04-26,56.8,57.16,57.16,56.8,86,56.8
2021-05-04,56.8,58.65,58.65,56.8,43,56.8
2021-05-12,56.8,58.53,58.53,58.53,1050,58.53
2021-05-19,58.53,56.8,56.8,58.53,30,58.53
2021-05-28,58.53,56.5,56.5,58.53,120,58.53
2021-07-01,58.53,56.41,56.41,58.53,50,58.53
2021-07-06,58.53,56.12,56.12,58.53,50,58.53
2021-07-15,58.53,56.48,56.48,58.53,44,58.53
2021-08-20,58.53,55.47,55.47,58.53,120,58.53
