date,open,high,low,close,volume,adj_close
2021-08-10,114360,114360,114360,114360,53,114360
2021-08-11,114360,115990,115990,114360,5,114360
2021-08-12,114360,116300,116300,114360,2,114360
2021-08-17,114360,120340,120340,114360,1,114360
2021-08-19,114360,118630,118630,114360,3,114360
2021-09-01,114360,113310,113310,114360,9,114360
2021-09-02,114360,114390,114390,114360,10,114360
2021-09-03,114360,114590,114590,114360,1,114360
2021-09-08,114360,117270,117090,114360,5,114360
2021-09-10,114360,114600,114600,114360,1,114360
2021-09-13,114360,113450,113450,114360,5,114360
