date,open,high,low,close,volume,adj_close
2012-04-18,475,475,475,475,9468,475
2012-04-19,475,475,475,475,5727,475
2012-04-27,475,480,480,480,16138,480
2012-05-02,480,480,480,480,2,480
2012-05-04,480,480,480,480,2469,480
2012-05-14,480,480,480,480,30,480
2012-05-23,480,475,475,475,48745,475
2012-05-29,475,471,471,471,5288,471
2012-06-05,471,450,450,450,27590,450
2012-06-06,450,450,450,450,1852,450
2012-06-07,450,450,450,450,444,450
2012-06-08,450,450,450,450,192,450
2012-06-19,450,450,450,450,1649,450
2012-06-22,450,460,460,460,275000,460
2012-06-25,460,450,450,450,3846,450
2012-06-27,450,450,450,450,33,450
2012-06-29,450,450,450,450,134,450
2012-07-19,450,450,450,450,25,450
2012-07-27,450,450,450,450,25,450
2012-08-03,450,467.8,467.8,467.8,81000,467.8
2012-08-14,467.8,460.78,460.78,460.78,24684,460.78
2012-08-16,460.78,453.87,453.87,453.87,24902,453.87
2012-08-17,453.87,460.02,453,460.01,50538,460.01
2012-08-20,460.01,453.11,453.11,453.11,20098,453.11
2012-08-21,453.11,446.31,446.31,446.31,1612,446.31
2012-08-22,446.31,452.36,446.31,452.36,26609,452.36
2012-08-23,452.36,452.36,452.36,452.36,110,452.36
2012-08-27,452.36,445.57,445.57,445.57,25365,445.57
2012-08-29,445.57,445,445,445,31474,445
2012-08-30,445,445,445,445,96,445
2012-09-03,445,445,445,445,562,445
2012-09-11,445,445,445,445,1200,445
2012-09-14,445,445,445,445,30668,445
2012-09-27,445,451.04,451.04,451.04,25086,451.04
2012-09-28,451.04,451,451,451,6952,451
2012-10-01,451,451,451,451,322,451
2012-10-04,451,455,455,455,1400,455
2012-10-10,455,455,455,455,17000,455
2012-10-18,455,461.17,461.17,461.17,24575,461.17
2012-10-19,461.17,470,467.43,470,23582,470
2012-10-22,470,470,470,470,83,470
2012-10-30,470,470.1,470.1,470.1,668223,470.1
2012-10-31,470.1,470.1,470.1,470.1,6,470.1
2012-11-05,470.1,470,470,470,1000,470
2012-11-07,470,470,470,470,201000,470
2012-11-20,470,462.95,462.95,462.95,2993,462.95
2012-11-22,462.95,462.19,456.01,462.19,28121,462.19
2012-11-26,462.19,462.19,462.19,462.19,139,462.19
2012-11-27,462.19,462.19,462.19,462.19,369,462.19
2012-11-28,462.19,455.26,455.26,455.26,4699,455.26
2012-11-30,455.26,461.43,455.26,461.43,27363,461.43
2012-12-03,461.43,467.68,467.68,467.68,25628,467.68
2012-12-06,467.68,477,470,477,64383,477
2012-12-07,477,477,477,477,289,477
2012-12-12,477,490,483.47,490,50495,490
2012-12-13,490,495,495,495,20842,495
2012-12-17,495,501.71,501.71,501.71,23964,501.71
2012-12-18,501.71,506.78,500,505,1048900,505
2012-12-19,505,512,511.85,512,805041,512
2012-12-26,512,520,518.9,520,346067,520
2013-01-04,520,550,519.99,550,4314495,550
2013-01-08,550,557.46,557.46,557.46,21482,557.46
2013-01-09,557.46,558,558,558,5500,558
2013-01-10,558,555,555,555,3062,555
2013-01-11,555,560,560,560,15282,560
2013-01-14,560,560,560,560,1,560
2013-01-15,560,560,560,560,5554,560
2013-01-16,560,560,560,560,7961,560
2013-01-17,560,560,560,560,60,560
2013-01-18,560,560,560,560,5555,560
2013-01-25,560,560.01,560.01,560.01,22222,560.01
2013-01-29,560.01,560,560,560,178571,560
2013-01-30,560,560,560,560,333,560
2013-02-01,560,567.59,567.59,567.59,21558,567.59
2013-02-05,567.59,583.08,575.28,583.08,23140,583.08
2013-02-06,583.08,583.08,583.08,583.08,1076,583.08
2013-02-12,583.08,586.1,586.1,586.1,467699,586.1
2013-02-22,586.1,586.1,586.1,586.1,30,586.1
2013-02-28,586.1,590,590,590,25021,590
2013-03-04,590,590,590,590,1705,590
2013-03-05,590,593,593,593,7277,593
2013-03-06,593,593,593,593,455,593
2013-03-12,593,593,593,593,40117,593
2013-03-13,593,590,590,590,64405,590
2013-03-20,590,590,590,590,152,590
2013-03-21,590,590,590,590,30000,590
2013-03-25,590,630,602.25,630,1629038,630
2013-03-26,630,625,620,625,40000,625
2013-03-28,625,645,645,645,4909,645
2013-04-01,645,645,645,645,6422,645
2013-04-03,645,645,645,645,139,645
2013-04-05,645,650,650,650,1922,650
2013-04-08,650,650,650,650,840,650
2013-04-09,650,650,650,650,1600,650
2013-04-10,650,650,650,650,5621,650
2013-04-11,650,650,650,650,143,650
2013-04-16,650,650,650,650,154,650
2013-04-18,650,650,650,650,2419,650
2013-04-22,650,650,650,650,761,650
2013-04-24,650,650,640.25,650,57324,650
2013-04-25,650,650,650,650,264,650
2013-04-26,650,667,658.81,667,28270,667
2013-05-02,667,667,667,667,69,667
2013-05-08,667,685,676.04,685,13650,685
2013-05-10,685,695,690,695,47189,695
2013-05-14,695,695,695,695,19038,695
2013-05-15,695,695,695,695,150,695
2013-05-17,695,695,695,695,107344,695
2013-05-20,695,695,695,695,708,695
2013-05-22,695,699,699,699,5630,699
2013-05-23,699,699,699,699,445,699
2013-05-29,699,708.48,708.48,708.48,4500,708.48
