date,open,high,low,close,volume,adj_close
2013-04-08,36.82,36.82,36.82,36.82,1450,36.82
2013-04-09,36.82,37.28,37.28,37.28,1450,37.28
2013-04-15,37.28,37.47,37.47,37.47,53,37.47
2013-04-18,37.47,36.49,36.49,36.49,141,36.49
2013-05-09,36.49,38.27,38.27,38.27,261,38.27
2013-05-10,38.27,37.89,37.89,37.89,160,37.89
2013-05-15,37.89,39.23,39.23,39.23,315,39.23
2013-05-22,39.23,40.78,40.4,40.4,314,40.4
2013-06-03,40.4,40.8,40.8,40.8,35,40.8
2013-07-15,40.8,43.2,43.2,43.2,113,43.2
2013-08-22,43.2,42.55,42.43,42.5,2690,42.5
2013-08-23,42.5,42.45,42.45,42.45,75,42.45
2013-08-26,42.45,42.74,42.74,42.74,580,42.74
2013-09-03,42.74,41.26,41.26,41.26,240,41.26
2013-09-13,41.26,42.29,42.27,42.27,1251,42.27
2013-09-17,42.27,42.86,42.86,42.86,240,42.86
2013-10-01,42.86,41.29,41.29,41.29,200,41.29
2013-10-10,41.29,40.94,40.94,40.94,234,40.94
2013-10-28,40.94,42.8,42.8,42.8,203,42.8
2013-11-05,42.8,42.67,42.67,42.67,522,42.67
2013-11-15,42.67,43.58,43.58,43.58,470,43.58
2013-11-20,43.58,43.67,43.67,43.67,179,43.67
2013-11-26,43.67,44.66,44.66,44.66,224,44.66
2013-12-19,44.66,45.1,45.1,45.1,500,45.1
2014-01-10,45.1,46.2,45.8,45.8,455,45.8
2014-01-13,45.8,45.99,45.99,45.99,232,45.99
2014-01-23,45.99,46.29,46.29,46.29,200,46.29
2014-02-13,46.29,45.51,45.51,45.51,382,45.51
2014-02-26,45.51,46.05,46.05,46.05,195,46.05
2014-03-11,46.05,47.83,47.83,47.83,160,47.83
2014-03-13,47.83,48.05,47.8,47.8,1036,47.8
2014-03-14,47.8,47.57,47.57,47.57,108,47.57
2014-03-18,47.57,48.28,48.28,48.28,162,48.28
2014-03-19,48.28,48.39,48.39,48.39,340,48.39
2014-06-26,48.39,52.26,52.26,52.26,1390,52.26
2014-07-31,52.26,51.31,51.31,51.31,502,51.31
2014-08-05,51.31,50.42,50.42,50.42,30,50.42
2014-08-11,50.42,49.99,49.97,49.97,910,49.97
2014-10-01,49.97,51.39,51.39,51.39,595,51.39
2014-10-15,51.39,47.47,47.47,47.47,163,47.47
2014-10-17,47.47,48.8,48.8,48.8,609,48.8
2014-10-24,48.8,50.94,50.94,50.94,609,50.94
2014-10-28,50.94,51.63,51.63,51.63,657,51.63
2015-01-07,51.63,52.6,52.4,52.4,212,52.4
2015-01-15,52.4,51.36,51.36,51.36,192,51.36
2015-01-28,51.36,52.69,52.69,52.69,657,52.69
