date,open,high,low,close,volume,adj_close
2012-05-24,64.05,64.05,64.05,64.05,100,64.05
2012-06-07,64.05,65.96,65.96,65.96,100,65.96
2012-11-29,65.96,70.61,70.61,70.61,142,70.61
2012-12-19,70.61,69,69,69,87,69
2013-01-02,69,68.92,68.92,68.92,115,68.92
2013-01-24,68.92,69.5,69.5,69.5,1750,69.5
2013-02-08,69.5,71.5,71.44,71.5,240,71.5
2013-04-23,71.5,79.02,79.02,79.02,142,79.02
2013-05-29,79.02,76.25,76.25,76.25,457,76.25
2013-06-24,76.25,73.28,73.28,73.28,196,73.28
2013-07-10,73.28,76.65,76.65,76.65,51,76.65
2013-07-11,76.65,77.5,77.5,77.5,261,77.5
2013-08-20,77.5,73.44,73.44,73.44,115,73.44
2013-08-23,73.44,73.2,73.2,73.2,51,73.2
2014-01-22,73.2,75.32,75.32,75.32,3000,75.32
2014-05-12,75.32,78.98,78.98,78.98,3000,78.98
2014-05-19,78.98,76.71,76.71,76.71,195,76.71
2014-10-09,76.71,78.28,78.28,78.28,195,78.28
2015-03-10,78.28,82.16,82.16,82.16,119,82.16
2015-05-13,82.16,79.03,79.03,79.03,35,79.03
2015-06-09,79.03,72.66,72.66,72.66,25,72.66
2015-09-25,72.66,64.29,64.29,64.29,35,64.29
2015-10-30,64.29,57.76,57.76,57.76,25,57.76
2015-11-17,57.76,59.35,59.35,59.35,165,59.35
2016-03-14,59.35,67.16,67.16,67.16,73,67.16
2016-11-25,67.16,71.1,71.1,71.1,133,71.1
2017-01-12,71.1,68.23,68.23,68.23,165,68.23
2017-03-31,68.23,71.93,71.93,71.93,1042,71.93
2017-06-16,71.93,74.98,74.98,74.98,133,74.98
2017-06-28,74.98,76.4,76.4,76.4,73,76.4
2017-11-27,76.4,96.61,96.61,96.61,51,96.61
2017-12-19,96.61,98.88,98.88,98.88,2000,98.88
2017-12-26,98.88,99.21,99.21,99.21,300,99.21
2018-01-18,99.21,104.03,104.03,104.03,286,104.03
2018-02-12,104.03,99.75,99.75,99.75,80,99.75
2018-02-15,99.75,103.1,103.1,103.1,52,103.1
2018-03-02,103.1,88.34,88.34,88.34,80,88.34
2018-03-28,88.34,87.6,87.6,87.6,380,87.6
2018-04-13,87.6,85.63,85.63,85.63,380,85.63
2018-07-18,85.63,88.41,88.41,88.41,1042,88.41
2018-08-14,88.41,90.88,90.88,90.88,55,90.88
2018-08-16,90.88,99.31,99.31,99.31,55,99.31
2018-08-21,99.31,95.82,95.82,95.82,586,95.82
2018-10-30,95.82,101.53,101.53,101.53,51,101.53
2018-11-05,101.53,102.81,102.81,102.81,2000,102.81
2019-09-27,102.81,118.74,118.74,118.74,5,118.74
2020-02-11,118.74,115,115,115,318,115
