date,open,high,low,close,volume,adj_close
2014-08-25,37.7,37.7,37.7,37.7,447,37.7
2015-06-09,37.7,24.7,24.7,24.7,51,24.7
2015-06-12,24.7,24.11,24.11,24.11,447,24.11
2015-07-27,24.11,15.95,15.95,15.95,51,15.95
2016-11-17,15.95,28.98,28.98,28.98,1371,28.98
2016-12-09,28.98,36.53,36.53,36.53,1371,36.53
2017-02-15,36.53,39.98,39.98,39.98,890,39.98
2017-02-16,39.98,38.59,38.59,38.59,890,38.59
2017-02-21,38.59,40.93,40.93,40.93,890,40.93
2017-02-23,40.93,38.96,38.96,38.96,890,38.96
2017-03-01,38.96,39.83,39.6,39.69,1839,39.69
2017-05-12,39.69,19.87,19.87,19.87,750,19.87
2017-05-19,19.87,19.95,19.95,19.95,2700,19.95
2017-06-15,19.95,19.91,19.91,19.91,2700,19.91
2017-09-07,19.91,27.74,27.74,27.74,850,27.74
2017-09-15,27.74,25.72,25.64,25.64,1275,25.64
2017-09-26,25.64,24.45,24.45,24.45,1985,24.45
2017-11-10,24.45,27.59,27.59,27.59,860,27.59
2017-11-14,27.59,27.47,27.47,27.47,830,27.47
2017-11-23,27.47,28.5,28.5,28.5,15950,28.5
2017-11-24,28.5,29.24,29.24,29.24,293,29.24
2017-12-07,29.24,31.82,31.71,31.77,17640,31.77
2018-01-23,31.77,40.3,40.3,40.3,375,40.3
2018-01-25,40.3,41.23,41.23,41.23,1850,41.23
2018-01-29,41.23,41.56,41.56,41.56,1985,41.56
2018-02-06,41.56,34.78,34.69,34.78,58,34.78
2018-02-20,34.78,44.77,44.77,44.77,371,44.77
2018-02-26,44.77,45.08,45.08,45.08,1850,45.08
2018-03-01,45.08,46.41,46.41,46.41,375,46.41
2018-03-14,46.41,39.86,38.7,38.7,2570,38.7
2018-06-27,38.7,34.6,34.6,34.6,580,34.6
2018-06-29,34.6,35.15,35.15,35.15,260,35.15
2018-08-17,35.15,29.64,29.64,29.64,120,29.64
2019-01-07,29.64,20.8,20.8,20.8,4857,20.8
2019-01-25,20.8,21.42,21.42,21.42,4857,21.42
2019-05-31,21.42,11.86,11.86,11.86,58,11.86
2019-07-17,11.86,15,15,15,2000,15
2019-07-23,15,15.68,15.68,15.68,2000,15.68
2019-09-17,15.68,12.68,12.68,12.68,2370,12.68
2019-09-30,12.68,11.12,11.12,11.12,1090,11.12
2019-10-01,11.12,12.31,12.31,12.31,1090,12.31
2019-11-04,12.31,13.4,13.4,12.31,2370,12.31
2020-01-09,12.31,10.64,10.64,10.64,940,10.64
2020-03-26,10.64,5.98,5.98,10.64,160,10.64
2020-04-09,10.64,7.2,7.2,10.64,160,10.64
2020-05-07,10.64,8.2,8.2,10.64,5,10.64
2020-06-04,10.64,8.93,8.93,8.93,4650,8.93
2020-06-25,8.93,7.5,7.5,7.5,1333,7.5
2020-07-01,7.5,6.83,6.83,7.5,872,7.5
2020-07-31,7.5,6.89,6.89,7.5,500,7.5
2020-08-06,7.5,7.28,7.28,7.5,336,7.5
2020-08-10,7.5,7.87,7.87,7.5,500,7.5
2020-08-17,7.5,7.9,7.9,7.9,4650,7.9
2020-08-20,7.9,7.75,7.75,7.9,159,7.9
2020-08-21,7.9,7.61,7.61,7.9,119,7.9
2020-10-07,7.9,8.3,8.3,8.3,872,8.3
2020-10-14,8.3,8.45,8.45,8.3,320,8.3
2020-10-15,8.3,8.6,8.6,8.6,1333,8.6
2020-11-11,8.6,10.42,10.42,8.6,278,8.6
2020-11-18,8.6,11.4,11.4,11.4,940,11.4
2020-12-04,11.4,15.5,15.5,11.4,320,11.4
2020-12-14,11.4,18.7,18.7,18.7,260,18.7
2021-01-07,11.4,20.94,20.94,11.4,140,11.4
2021-01-11,11.4,22.98,22.98,22.98,89,22.98
2021-02-05,11.4,16.65,16.65,11.4,300,11.4
2021-02-17,11.4,18.48,18.48,18.48,1623,18.48
2021-02-18,18.48,17.88,17.88,17.88,220,17.88
2021-02-22,18.48,18.59,18.59,18.59,1623,18.59
2021-02-24,18.59,18.52,18.52,18.52,370,18.52
2021-02-26,18.59,16.84,16.84,16.84,3000,16.84
2021-03-02,16.84,18.86,18.86,18.86,300,18.86
2021-03-04,16.84,17.88,17.85,17.85,448,17.85
2021-03-05,16.84,17.3,17.3,17.3,2890,17.3
2021-03-10,17.3,20.98,20.98,20.98,448,20.98
2021-03-11,20.98,21.19,21.19,20.98,196,20.98
2021-03-12,20.98,22.9,22.9,20.98,132,20.98
2021-03-18,20.98,23.65,23.65,23.65,1805,23.65
2021-03-24,23.65,20.98,20.98,20.98,2380,20.98
2021-03-29,20.98,25.1,24.3,24.3,2512,24.3
2021-04-07,24.3,24.03,24.03,24.3,260,24.3
2021-04-14,24.3,23.36,23.36,23.36,370,23.36
2021-04-28,23.36,23.49,23.49,23.49,500,23.49
2021-05-03,23.49,23.9,23.9,23.9,563,23.9
2021-05-04,23.9,26.21,25.18,26.21,6012,26.21
2021-05-05,26.21,25.41,25.41,25.41,790,25.41
2021-05-10,25.41,28.95,28.95,28.95,775,28.95
2021-05-25,28.95,24.25,24.25,24.25,2000,24.25
2021-06-09,24.25,27.31,27.31,24.25,300,24.25
2021-06-10,24.25,28.03,28.03,28.03,2000,28.03
2021-06-14,28.03,27.6,27.6,27.6,360,27.6
2021-06-16,27.6,25.57,25.57,27.6,300,27.6
2021-06-17,27.6,23.81,23.73,23.8,1200,23.8
2021-07-07,23.8,23.05,23.05,23.8,50,23.8
2021-07-12,23.8,25,25,23.8,150,23.8
2021-07-15,23.8,23.22,23.22,23.22,370,23.22
2021-07-19,23.22,21.06,21.06,23.22,200,23.22
2021-07-20,23.22,21.83,21.83,21.83,1000,21.83
2021-07-28,21.83,24.2,24.17,24.17,10777,24.17
2021-07-30,24.17,26.25,26,24.17,300,24.17
