date,open,high,low,close,volume,adj_close
2012-05-24,80.69,80.69,80.69,80.69,100,80.69
2012-06-07,80.69,80.57,80.57,80.57,100,80.57
2012-09-20,80.57,91.48,91.48,91.48,60,91.48
2012-10-02,91.48,91.8,91.8,91.8,118,91.8
2013-01-09,91.8,87.96,87.96,87.96,60,87.96
2013-02-07,87.96,88.52,88.52,88.52,115,88.52
2013-03-26,88.52,90,90,90,115,90
2013-04-29,90,88.2,88.2,88.2,169,88.2
2013-05-07,88.2,90.58,90.58,90.58,169,90.58
2013-06-11,90.58,90.9,90.9,90.9,109,90.9
2013-06-18,90.9,91.8,91.8,91.8,109,91.8
2013-06-20,91.8,89.95,89.95,89.95,108,89.95
2013-06-24,89.95,88.05,88.05,88.05,108,88.05
2013-07-25,88.05,95.2,95.2,95.2,118,95.2
2013-08-02,95.2,91.5,91.5,91.5,108,91.5
2013-08-27,91.5,87.3,87.3,87.3,171,87.3
2013-08-29,87.3,87.79,87.79,87.79,567,87.79
2013-09-16,87.79,88.31,88.31,88.31,567,88.31
2013-11-25,88.31,95.23,95.23,95.23,171,95.23
2014-02-06,95.23,89.3,89.3,89.3,55,89.3
2014-02-13,89.3,90.55,90.55,90.55,193,90.55
2014-02-26,90.55,95.71,95.71,95.71,93,95.71
2014-03-13,95.71,93.59,93.59,93.59,286,93.59
2014-03-18,93.59,95,95,95,234,95
2014-07-07,95,102.28,102.28,102.28,108,102.28
2014-07-31,102.28,100.24,100.24,100.24,234,100.24
2014-08-11,100.24,98.96,98.96,98.96,300,98.96
2014-10-01,98.96,93.65,93.65,93.65,300,93.65
2014-10-17,93.65,91.27,91.27,91.27,326,91.27
2014-10-24,91.27,94.02,94.02,94.02,326,94.02
2014-11-21,94.02,96.2,96.2,96.2,350,96.2
2015-01-28,96.2,89.05,89.05,89.05,350,89.05
2015-03-10,89.05,84.83,84.83,84.83,116,84.83
2015-04-27,84.83,87,87,87,800,87
2015-05-08,87,88.85,88.85,88.85,500,88.85
2015-06-09,88.85,85.29,85.29,85.29,20,85.29
2015-07-01,85.29,82.6,82.6,82.6,571,82.6
2015-07-23,82.6,81.19,81.19,81.19,20,81.19
2015-10-07,81.19,78.4,78.4,78.4,300,78.4
2015-11-02,78.4,85.09,85.09,85.09,571,85.09
2017-01-18,85.09,87.04,87.04,87.04,17,87.04
2017-02-24,87.04,81.54,81.54,81.54,37,81.54
2017-03-17,81.54,82,82,82,700,82
2017-05-26,82,81.58,81.58,81.58,700,81.58
2017-06-08,81.58,80.97,80.97,80.97,54,80.97
2017-07-11,80.97,80.25,80.25,80.25,55,80.25
2018-04-18,80.25,79.04,79.04,79.04,180,79.04
2018-05-10,79.04,81.52,81.52,81.52,12,81.52
2018-05-30,81.52,81.53,81.53,81.53,180,81.53
2018-08-01,81.53,80.76,80.76,80.76,245,80.76
2019-09-06,80.76,70.56,70.56,70.56,500,70.56
2019-11-27,70.56,68.48,68.48,70.56,15,70.56
2019-12-26,70.56,70.46,70.46,70.56,40,70.56
2020-01-21,70.56,68.34,68.31,68.31,514,68.31
2020-02-03,68.31,61.07,61.07,68.31,30,68.31
2020-02-19,68.31,60.26,60.26,68.31,16,68.31
2020-03-10,68.31,42.6,41.5,42.3,621,42.3
2020-03-23,42.3,33.3,33.3,42.3,150,42.3
2020-03-26,42.3,37.6,37.6,42.3,79,42.3
2020-03-30,42.3,37.86,37.86,42.3,150,42.3
2020-03-31,42.3,39,38.5,38.58,180,38.58
2020-04-07,38.58,42.98,42.98,42.98,350,42.98
2020-04-13,42.98,42.3,42.3,42.98,120,42.98
2020-04-22,42.98,42.1,42.1,42.1,167,42.1
