date,open,high,low,close,volume,adj_close
2021-02-03,34344,34354,33942,34344,287,34344
2021-02-25,34344,40448,40448,40448,25,40448
2021-03-01,34344,41752,41752,34344,8,34344
2021-03-03,34344,42221,41006,42221,46,42221
2021-03-11,34344,44780,44780,34344,22,34344
2021-04-19,34344,33920,33920,34344,2,34344
2021-04-30,34344,41180,41180,34344,2,34344
2021-05-04,34344,41630,41630,34344,15,34344
2021-05-06,34344,42760,42760,34344,5,34344
2021-05-10,34344,44196,44002,34344,14,34344
2021-05-11,34344,42900,42290,34344,26,34344
2021-05-13,34344,42460,42460,34344,7,34344
2021-05-17,34344,43620,43620,34344,10,34344
2021-05-18,34344,43400,43400,34344,10,34344
2021-06-02,34344,44052,43950,34344,70,34344
2021-06-03,34344,43866,43866,34344,5,34344
2021-06-10,34344,45650,45632,34344,35,34344
2021-06-11,34344,44914,44914,34344,22,34344
2021-06-14,34344,45320,45320,45320,22,45320
2021-06-17,34344,45153,45153,34344,7,34344
2021-07-06,34344,45300,45300,34344,2,34344
2021-07-07,34344,45470,45470,34344,1,34344
