date,open,high,low,close,volume,adj_close
2009-06-03,392,392,392,392,26802,392
2009-06-04,392,400,390,400,103300,400
2009-06-05,400,415,400,404.63,38127,404.63
2009-06-08,404.63,415,409.9,415,158926,415
2009-06-09,415,418,405,418,76400,418
2009-06-10,418,425,421,423,120396,423
2009-06-11,423,426.4,421,426.42,79801,426.42
2009-06-12,426.42,434,425,434,41839,434
2009-06-15,434,435,430,430,52577,430
2009-06-16,430,431,430,431,86365,431
2009-06-17,431,426,415.1,418,116939,418
2009-06-18,418,425,425,425,6492,425
2009-06-19,425,425,424.99,425,52880,425
2009-06-22,425,425,424.8,424.8,27500,424.8
2009-06-23,424.8,424.5,424.5,424.5,3380,424.5
2009-06-24,424.5,424.5,424.5,424.5,848,424.5
2009-06-25,424.5,424,423,423,12852,423
2009-06-26,423,424,424,424,27695,424
2009-06-30,424,425,422,422,19000,422
2009-07-01,422,422,420,420,54600,420
2009-07-02,420,420,420,420,46851,420
2009-07-03,420,420.2,405,420.04,339356,420.04
2009-07-06,420.04,420.04,420,420,5330,420
2009-07-07,420,427,420,425,284805,425
2009-07-08,425,427,425,425,9078,425
2009-07-09,425,426,426,426,2800,426
2009-07-10,426,428.5,423.1,428.5,8234,428.5
2009-07-13,428.5,435,430,434.93,99524,434.93
2009-07-14,434.93,439,435,439,17484,439
2009-07-15,439,440,437,439,47420,439
2009-07-20,439,446,440,443,90510,443
2009-07-21,443,448.3,445,448.3,43986,448.3
2009-07-22,448.3,448,440,445,35611,445
2009-07-23,445,445,445,445,5359,445
2009-07-24,445,447,445,447,52088,447
2009-07-27,447,448.5,448,448.5,44507,448.5
2009-07-28,448.5,448,440.51,440.98,53907,440.98
2009-07-29,440.98,445,444.9,444.99,224000,444.99
2009-07-30,444.99,445,441,442.5,18472,442.5
2009-07-31,442.5,445,443.5,444.5,26001,444.5
2009-08-03,444.5,444.5,444.5,444.5,47777,444.5
2009-08-04,444.5,445,441,445,321896,445
2009-08-05,445,445,441.03,443,22261,443
2009-08-06,443,446,444,444,159241,444
2009-08-07,444,444,444,444,13500,444
2009-08-10,490,450,445,450,105234,450
2009-08-11,450,451,447,447,19100,447
2009-08-12,447,457,452,452,55197,452
2009-08-13,452,460,452,459.5,62897,459.5
2009-08-14,459.5,460,459,459,32196,459
2009-08-17,459,458,457.5,458,17575,458
2009-08-18,458,458,458,458,13100,458
2009-08-19,458,457.5,446,446.08,71096,446.08
2009-08-20,446.08,446,445.9,445.9,42120,445.9
2009-08-21,445.9,447,440,440,68919,440
2009-08-24,440,440.01,436.01,436.01,329392,436.01
2009-08-25,436.01,440,437,440,28942,440
2009-08-26,440,440,436,436.5,98648,436.5
2009-08-27,436.5,437,435.1,436,7055,436
2009-08-28,436,440,438,439,79245,439
2009-08-31,439,439,435,435,30723,435
2009-09-01,435,435,430,430,71538,430
2009-09-02,430,430,430,430,39410,430
2009-09-03,430,431.5,431,431,80660,431
2009-09-04,431,434,431,432,21104,432
2009-09-07,432,432,431,431,17426,431
2009-09-08,431,431,430,431,8920,431
2009-09-09,431,431,430,430,52393,430
2009-09-10,430,431,430,431,31243,431
2009-09-11,431,432,430,430,54130,430
2009-09-14,430,430,430,430,13147,430
2009-09-15,430,430,429.9,430,2938,430
2009-09-16,430,430,430,430,30233,430
2009-09-17,430,440,433,440,62098,440
2009-09-21,440,447.9,440,445,55907,445
2009-09-22,445,457,450,455,90344,455
2009-09-23,455,455,450,450,105776,450
2009-09-24,450,450,449,449.99,43089,449.99
2009-09-25,449.99,450,446,450,155033,450
2009-09-28,450,452,450,450,136461,450
2009-09-29,450,452,448,452,78299,452
2009-09-30,452,460,452,460,114198,460
2009-10-01,460,460,460,460,65260,460
2009-10-02,460,459.9,454,454,36505,454
2009-10-05,454,458.99,455,458.99,76443,458.99
2009-10-06,458.99,460,460,460,101003,460
2009-10-07,460,460,460,460,32895,460
2009-10-08,460,470,468,470,27173,470
2009-10-09,470,472,470,470,63516,470
2009-10-13,470,480,470,475,47575,475
2009-10-14,475,475.1,470,470,74598,470
2009-10-15,470,475,472,475,7487,475
2009-10-16,475,475,470,470,22675,470
2009-10-19,470,471,470,470,5795,470
2009-10-20,470,475,461.01,462.29,114006,462.29
2009-10-21,463,470,463,466.94,80934,466.94
2009-10-22,466.94,466,465,466,17893,466
2009-10-23,463.5,470,463.5,470,30000,470
2009-10-26,470,472,469,470,87767,470
2009-10-27,470,470,466,466,13660,466
2009-10-28,466,470,466,466,56203,466
2009-10-29,466,468,463,465,219786,465
2009-10-30,465,465,464,464.99,37246,464.99
2009-11-02,464.99,465,460,460,61261,460
2009-11-03,460,457,455,457,159992,457
2009-11-04,457,460,458,458,24414,458
2009-11-05,455,458,455,458,42818,458
2009-11-06,458,460,458,460,147825,460
2009-11-09,460,465,455,460,182085,460
2009-11-10,460,460,458,459,141703,459
2009-11-11,459,460,459.9,459.9,127901,459.9
2009-11-12,459.9,459.9,456.99,458,51906,458
2009-11-13,458,460,458,459,395120,459
2009-11-16,428,428,421,427,162140,427
2009-11-17,427,427,421,421,15077,421
2009-11-18,421,425,420,420,79535,420
2009-11-19,420,421,421,421,14000,421
2009-11-20,421,424,422,422,56091,422
2009-11-23,422,422,422,422,3500,422
2009-11-24,422,422,410,410,40617,410
2009-11-25,410,410.5,410,410.5,11466,410.5
2009-11-26,410.5,410.5,400,400,61961,400
2009-11-27,400,410,400,410,29455,410
2009-11-30,410,415,414,415,51357,415
2009-12-01,415,418,415,418,68185,418
2009-12-02,418,415,415,415,11072,415
2009-12-03,415,413,408,408,36857,408
2009-12-04,408,408,405,406.1,17294,406.1
2009-12-07,406.1,405,403,403,37845,403
2009-12-09,403,403,400,401,112647,401
2009-12-10,401,401,400,400,135435,400
2009-12-11,400,406,400,406,65118,406
2009-12-14,406,410,410,410,3781,410
2009-12-15,410,415,410,415,41545,415
2009-12-16,415,415,414,415,338502,415
2009-12-17,415,414.99,414.99,414.99,27998,414.99
2009-12-18,414.99,414,414,414,1203,414
2009-12-21,414,415,414,414,124204,414
2009-12-22,414,411,410,411,13925,411
2009-12-23,411,411,410,410,13943,410
2009-12-24,410,410,410,410,15000,410
2009-12-28,410,411,410,410.5,32288,410.5
2009-12-29,410.5,415,410.5,414,831952,414
2009-12-30,414,417,415,417,3654,417
2010-01-04,417,420,410.5,420,776267,420
2010-01-05,420,430,420,426,275145,426
2010-01-06,426,431,427,431,263103,431
2010-01-07,431,430.9,429.99,429.99,28056,429.99
2010-01-08,429.99,429,425,425,15904,425
2010-01-11,425,428,424,425,88170,425
2010-01-13,425,425,424,424,136000,424
2010-01-14,424,435,424.5,435,64191,435
2010-01-15,435,435,435,435,719,435
2010-01-18,435,435,434,435,145744,435
2010-01-19,435,445,435,445,45793,445
2010-01-20,445,454,450,452,88646,452
